Name;Number;Slug
"ATS Automobili";2;ats-automobili
Acura;2;acura
Ajlani;1;ajlani
"Alfa Romeo";1;alfa-romeo
Apex;1;apex
Apollo;3;apollo
Arash;3;arash
Ares;1;ares
Arrinera;1;arrinera
Artega;1;artega
Aspark;1;aspark
"Aston Martin";14;aston-martin
"Automobili Pininfarina";3;automobili-pininfarina
BMW;6;bmw
BXR;1;bxr
Bentley;3;bentley
Bolwell;1;bolwell
Brabham;1;brabham
Bugatti;10;bugatti
Cadillac;1;cadillac
Chevrolet;6;chevrolet
Chrysler;1;chrysler
Citroën;2;citroen
Czinger;1;czinger
"DS Automobiles";2;ds-automobiles
"De Tomaso";2;de-tomaso
Deus;1;deus
Devel;1;devel
Dodge;5;dodge
Donkervoort;1;donkervoort
Drako;1;drako
"Exotic Rides";1;exotic-rides
"FV Frangivento";3;fv-frangivento
"Faraday Future";1;faraday-future
Ferrari;21;ferrari
Ford;11;ford
"Formule E";2;formule-e
Genty;1;genty
Ginetta;1;ginetta
Glickenhaus;3;glickenhaus
HTT;1;htt
Hennessey;1;hennessey
Honda;1;honda
Hyundai;2;hyundai
Icona;1;icona
"Inferno Automobili";1;inferno-automobili
Infiniti;1;infiniti
Italdesign;2;italdesign
Jaguar;7;jaguar
KTM;1;ktm
Kepler;1;kepler
Kimera;1;kimera
Koenigsegg;9;koenigsegg
Lamborghini;28;lamborghini
"Lego Technic";6;lego-technic
Lexus;1;lexus
Lotus;6;lotus
Maserati;4;maserati
Mazda;1;mazda
Mazzanti;1;mazzanti
McLaren;15;mclaren
McMurtry;1;mcmurtry
Mercedes-Benz;9;mercedes-benz
Mitsubishi;1;mitsubishi
Mosler;1;mosler
Naran;1;naran
Nilu27;0;nilu27
Nio;1;nio
Nissan;8;nissan
Noble;1;noble
Pagani;7;pagani
Peugeot;3;peugeot
Pininfarina;2;pininfarina
Porsche;17;porsche
Praga;2;praga
Puritalia;1;puritalia
Raesr;3;raesr
Renault;3;renault
Rezvani;1;rezvani
Rimac;4;rimac
SSC;3;ssc
Saleen;2;saleen
Sin;1;sin
"Spania GTA";1;spania-gta
TVR;2;tvr
Techrules;1;techrules
"Torino Design";1;torino-design
Toroidion;1;toroidion
Toyota;3;toyota
Trion;1;trion
Tushek;2;tushek
Ultima;1;ultima
VLF;1;vlf
"Vanda Electrics";1;vanda-electrics
Vencer;1;vencer
Vision;1;vision
Volkswagen;3;volkswagen
"W Motors";3;w-motors
Zenvo;4;zenvo
