Brand;Model;Speed;Acceleration;Handling;Nitro;Mark;Division
Acura;"2017 NSX";3;9;3;2;4;9
"Aston Martin";Vulcan;3;9;3;2;4;9
"Aston Martin";DB11;3;9;3;3;4;9
BMW;"3.0 CSL Hommage";9;9;3;3;6;9
BMW;"Z4 LCI E89";9;9;3;3;6;9
BMW;"M4 GTS";3;9;2;3;4;9
Bugatti;Chiron;1;2;3;2;2;9
Cadillac;"Cien Concept";2;9;9;2;5;9
Chevrolet;"Camaro LT";9;9;3;2;5;9
Chevrolet;"Corvette Grand Sport";3;9;1;1;3;9
Chevrolet;"Camaro ZL1 50th Edition";9;9;1;2;5;9
Dodge;"Challenger SRT8";3;9;9;3;6;9
Dodge;"Viper GTS";2;3;3;2;2;9
Dodge;"Challenger Pack 392 Hemi Scat";9;9;3;2;5;9
Dodge;"Viper ACR";3;9;1;2;3;9
"DS Automobiles";"DS E-Tense";9;9;1;2;5;9
"Exotic Rides";W70;3;3;3;3;3;9
Ferrari;"FXX K";2;2;3;2;2;9
Ferrari;F12TDF;2;9;3;1;3;9
Ferrari;LaFerrari;2;3;3;2;2;9
Ferrari;"488 GTB";3;3;3;2;2;9
Ford;GT;2;9;9;3;5;9
Ford;"Shelby GT350R";9;9;3;3;6;9
Glickenhaus;003S;2;9;9;2;5;9
Icona;"Vulcano Titanium";2;3;3;2;2;9
Jaguar;"F-Type SVR";3;9;3;3;4;9
Koenigsegg;Regera;1;3;3;3;2;9
Lamborghini;"Terzo Millennio";2;3;3;2;2;9
Lamborghini;Asterion;3;3;3;2;2;9
Lamborghini;"Aventador SV Coupé";2;3;3;2;2;9
Lamborghini;Centenario;2;3;3;2;2;9
Lamborghini;Egoista;2;2;2;2;2;9
Lotus;"Evora Sport 410";3;9;3;3;4;9
McLaren;P1;2;2;3;2;2;9
Mercedes-Benz;"AMG GT S";3;9;1;2;3;9
Mitsubishi;"Lancer Evolution";9;9;3;2;5;9
Nissan;"GT-R Nismo";3;2;2;2;2;9
Nissan;"37OZ Nismo";9;9;1;2;5;9
Pagani;"Huayra BC";2;3;2;1;2;9
Pininfarina;"H2 Speed";3;2;3;2;2;9
Porsche;"918 Spyder";2;2;3;1;2;9
Porsche;"911 GTS Coupé";3;9;3;3;4;9
Porsche;"718 Cayman";9;9;2;2;5;9
Rezvani;"Beast X";9;2;2;2;3;9
Trion;Nemesis;1;9;3;9;5;9
VLF;"Force 1 V10";2;3;3;2;2;9
Volkswagen;"XL Sport Concept";9;9;2;2;5;9
"W Motors";"Lykan Hypersport";1;3;3;3;2;9
"W Motors";"Fenyr Supersport";1;3;3;2;2;9
Ferrari;J50;2;3;3;2;2;9
Lotus;"Elise Sprint 220";9;3;1;2;3;9
Genty;Akylone;2;3;2;2;2;9
Maserati;Alfieri;9;2;2;2;3;9
McLaren;"570S Spider";2;9;2;2;3;9
Sin;"R1 550";2;9;3;1;3;9
Apollo;N;2;3;3;2;2;9
Vencer;Sarthe;2;9;2;3;4;9
Zenvo;"TS1 GT Anniversary";1;3;3;2;2;9
Lamborghini;"Huracán Evo Spyder";3;2;2;1;2;9
Lamborghini;"Aventador J";2;9;2;1;3;9
Mercedes-Benz;"SLR McLaren";2;9;2;1;3;9
Ferrari;"812 Superfast";2;3;2;2;2;9
Ferrari;"LaFerrari Aperta";2;3;1;2;2;9
Ginetta;G60;9;9;2;2;5;9
Koenigsegg;Jesko;1;3;3;3;2;9
Porsche;"911 Targa 4S";3;9;3;9;6;9
Arrinera;"Hussarya 33";2;9;3;3;4;9
Artega;"Scalo Superelletra";3;9;3;2;4;9
"Aston Martin";"Vantage GT12";3;9;1;1;3;9
McLaren;Senna;2;3;1;1;1;9
Porsche;"911 GT3 RS";3;2;1;1;1;9
TVR;Griffith;3;9;3;9;6;9
"Aston Martin";"DBS Superleggera";2;9;2;2;3;9
"Automobili Pininfarina";Battista;2;1;1;1;1;9
"Vanda Electrics";Dendrobium;3;1;1;1;1;9
Chevrolet;"Corvette ZR1";2;3;2;1;2;9
Ford;"Shelby GR-1";3;9;2;2;4;9
Italdesign;Zerouno;2;9;9;3;5;9
Mazda;Furai;3;3;3;3;3;9
Nissan;"Leaf Nismo RC";9;9;3;2;5;9
Rimac;Nevera;1;1;3;3;2;9
Techrules;"AT96 track version";2;2;2;2;2;9
Honda;"Civic Type-R";9;3;2;2;4;9
Lotus;Evija;2;3;2;2;2;9
Porsche;"911 GT1 Evolution";3;9;3;2;4;9
Porsche;"Carrera GT";3;9;1;1;3;9
