"Category";"Label";"Value";"Filter";"Position";"Active"
"money";"Credits";"130000000";"-";"1";"1";"credits"
"money";"Tokens";"34500";"-";"2";"1";"tokens"
"money";"Epics";"52000";"-";"3";"1";"epics"
"money";"Overlocks";"344";"-";"4";"1";"overlocks"
"money";"Seasons";"0";"-";"5";"";"seasons"
"money";"Gauntlet";"11300";"-";"6";"1";"gauntlet"
"money";"Style";"3093";"-";"7";"1";"style"
"money";"VIP";"64650";"-";"8";"1";"vip"
"common";"Speed";"214";"-";"96";"1";"speed"
"common";"Acceleration";"206";"-";"97";"1";"acceleration"
"common";"Handling";"192";"-";"99";"1";"handling"
"common";"Nitro";"209";"-";"99";"1";"nitro"
"rare";"Speed";"91";"D";"64";"1";"speed-d"
"rare";"Speed";"112";"C";"63";"1";"speed-c"
"rare";"Speed";"173";"B";"62";"1";"speed-b"
"rare";"Speed";"199";"A";"61";"1";"speed-a"
"rare";"Speed";"352";"S";"65";"1";"speed-s"
"rare";"Acceleration";"80";"D";"74";"1";"acceleration-d"
"rare";"Acceleration";"102";"C";"73";"1";"acceleration-c"
"rare";"Acceleration";"148";"B";"72";"1";"acceleration-b"
"rare";"Acceleration";"193";"A";"71";"1";"acceleration-a"
"rare";"Acceleration";"356";"S";"75";"1";"acceleration-s"
"rare";"Handling";"89";"D";"84";"1";"handling-d"
"rare";"Handling";"135";"C";"83";"1";"handling-c"
"rare";"Handling";"154";"B";"82";"1";"handling-b"
"rare";"Handling";"185";"A";"81";"1";"handling-a"
"rare";"Handling";"342";"S";"85";"1";"handling-s"
"rare";"Nitro";"72";"D";"94";"1";"nitro-d"
"rare";"Nitro";"132";"C";"93";"1";"nitro-c"
"rare";"Nitro";"140";"B";"92";"1";"nitro-b"
"rare";"Nitro";"193";"A";"91";"1";"nitro-a"
"rare";"Nitro";"347";"S";"95";"1";"nitro-s"
"joker";"Joker 1*";"10";"D";"55";"1";"joker-1-d"
"joker";"Joker 1*";"0";"C";"45";"1";"joker-1-c"
"joker";"Joker 1*";"4";"B";"35";"1";"joker-1-b"
"joker";"Joker 1*";"1";"A";"25";"1";"joker-1-a"
"joker";"Joker 1*";"2";"S";"15";"1";"joker-1-s"
"joker";"Joker 2*";"8";"D";"54";"1";"joker-2-d"
"joker";"Joker 2*";"2";"C";"44";"1";"joker-2-c"
"joker";"Joker 2*";"8";"B";"34";"1";"joker-2-b"
"joker";"Joker 2*";"2";"A";"24";"1";"joker-2-a"
"joker";"Joker 2*";"7";"S";"14";"1";"joker-2-s"
"joker";"Joker 3*";"0";"D";"53";"1";"joker-3-d"
"joker";"Joker 3*";"8";"C";"43";"1";"joker-3-c"
"joker";"Joker 3*";"0";"B";"33";"1";"joker-3-b"
"joker";"Joker 3*";"10";"A";"23";"1";"joker-3-a"
"joker";"Joker 3*";"0";"S";"13";"1";"joker-3-s"
"joker";"Joker 4*";"8";"D";"52";"1";"joker-4-d"
"joker";"Joker 4*";"5";"C";"42";"1";"joker-4-c"
"joker";"Joker 4*";"3";"B";"32";"1";"joker-4-b"
"joker";"Joker 4*";"8";"A";"22";"1";"joker-4-a"
"joker";"Joker 4*";"3";"S";"12";"1";"joker-4-s"
"joker";"Joker 5*";"0";"D";"51";"1";"joker-5-d"
"joker";"Joker 5*";"0";"C";"41";"1";"joker-5-c"
"joker";"Joker 5*";"6";"B";"31";"1";"joker-5-b"
"joker";"Joker 5*";"0";"A";"21";"1";"joker-5-a"
"joker";"Joker 5*";"0";"S";"11";"1";"joker-5-s"
