Brand;Model;Speed;Acceleration;Handling;Nitro;Average
Acura;"2017 NSX";305;75.7;48.17;36.81;116.42
"Aston Martin";Vulcan;328;73;36.63;50.33;121.99
"Aston Martin";DB11;322;66.7;38.03;43.92;117.66
BMW;"Z4 LCI E89";250;58.6;39.02;45.09;98.18
BMW;"M4 GTS";305;65.8;43.9;38.58;113.32
BMW;"3.0 CSL Hommage";280;63.1;44.02;39.88;106.75
Bugatti;Chiron;420;77.5;38.75;53.33;147.4
Cadillac;"Cien Concept";350;68.5;30.04;50.68;124.81
Chevrolet;"Corvette Grand Sport";314;67.6;70.28;66.74;129.66
Chevrolet;"Camaro ZL1 50th Edition";250;63.1;58.14;49.95;105.3
Chevrolet;"Camaro LT";265;51.4;41.17;48.53;101.53
Dodge;"Viper ACR";285;68.5;55.81;50.95;115.07
Dodge;"Challenger SRT8";292;64;26.47;23.08;101.39
Dodge;"Viper GTS";340;73;40.65;56.62;127.57
Dodge;"Challenger Pack 392 Hemi Scat";283;62.2;36.1;50.71;108
"DS Automobiles";"DS E-Tense";250;59.5;45.09;51.56;101.54
"Exotic Rides";W70;313;73.9;40.46;43.05;117.6
Ferrari;LaFerrari;350;73;37.68;62.91;130.9
Ferrari;"FXX K";350;76.59;38.45;64.95;132.5
Ferrari;F12TDF;340;73.9;31.67;69.61;128.8
Ferrari;"488 GTB";330;73;41.99;56.41;125.35
Ford;"Shelby GT350R";276;64.9;47.58;34.38;105.71
Ford;GT;348;70.3;29.92;38.29;121.63
Glickenhaus;003S;350;73;32.33;50.68;126.5
Icona;"Vulcano Titanium";370;75.7;35.26;53.84;133.7
Jaguar;"F-Type SVR";322;66.7;43.33;34.31;116.59
Koenigsegg;Regera;440;74.8;39.74;42.73;149.32
Lamborghini;"Terzo Millennio";380.8;78.19;45.16;54.79;139.73
Lamborghini;Egoista;350;78.4;49.16;65.97;135.88
Lamborghini;Asterion;320;73;37.51;58.07;122.15
Lamborghini;Centenario;350;74.8;39.22;61.9;131.48
Lamborghini;"Aventador SV Coupé";350;74.8;41.5;59.86;131.54
Lotus;"Evora Sport 410";300;62.2;44.09;36.32;110.65
McLaren;P1;350;74.8;39.97;53.74;129.63
Mercedes-Benz;"AMG GT S";310;65.8;35.63;39.96;112.85
Mitsubishi;"Lancer Evolution";250;42.4;54.8;54.8;100.5
Nissan;"GT-R Nismo";315;77.5;48.8;43.24;121.14
Nissan;"37OZ Nismo";250;53.2;52.37;41.85;99.36
Pagani;"Huayra BC";350;71.2;46.1;73.11;135.1
Pininfarina;"H2 Speed";300;69.4;64.66;41.8;118.96
Porsche;"718 Cayman";275;55.9;51.9;39.4;105.55
Porsche;"918 Spyder";345;76.59;41.83;66.3;132.43
Porsche;"911 GTS Coupé";312;64.9;41.08;42.95;115.23
Rezvani;"Beast X";282;73;48.18;46.21;112.35
Rimac;"C TWO";412;82.27;41.64;37.62;143.38
Trion;Nemesis;434;73.9;39.45;35.92;145.82
VLF;"Force 1 V10";350;73.9;43.04;60.87;131.95
Volkswagen;"XL Sport Concept";270;46.9;49.35;42.32;102.14
"W Motors";"Fenyr Supersport";405;75.7;37.7;60.97;144.84
"W Motors";"Lykan Hypersport";395;74.8;37;39.79;136.65
Ferrari;J50;333;73.9;42.27;48.91;124.52
Lotus;"Elise Sprint 220";234;59.5;54.8;47.82;99.03
Genty;Akylone;354;75.7;49.56;53.16;133.11
Maserati;Alfieri;305;60.4;29.33;51.53;111.57
McLaren;"570S Spider";356;71.2;46.08;47.38;130.17
Sin;"R1 550";350;68.5;36.92;63.94;129.84
