Brand;Model;FullSpeed;FullAcceleration;FullHandling;FullNitro;FullUpgrade;FullCommon;FullRare;FullEpic;FullImport;FullStar1;FullStar2;FullStar3;FullStar4;FullStar5;FullStar6;FullBlueprint;FullEvo;ToInstallSpeed;ToInstallAcceleration;ToInstallHandling;ToInstallNitro;ToInstallUpgrade;ToInstallCommon;ToInstallRare;ToInstallEpic;ToInstallImport;ToUnblock;ToGold
Acura;"2017 NSX";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aston Martin";DB11;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aston Martin";Vulcan;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;"Z4 LCI E89";;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;"3.0 CSL Hommage";;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;"M4 GTS";;;;;;;;;;;;;;;;;;;;;;;;;;;
Bugatti;Chiron;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cadillac;"Cien Concept";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Camaro ZL1 50th Edition";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Corvette Grand Sport";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Camaro LT";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Viper GTS";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Challenger Pack 392 Hemi Scat";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Viper ACR";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Challenger SRT8";;;;;;;;;;;;;;;;;;;;;;;;;;;
"DS Automobiles";"DS E-Tense";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Exotic Rides";W70;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"488 GTB";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;F12TDF;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"FXX K";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;LaFerrari;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford;"Shelby GT350R";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford;GT;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glickenhaus;003S;;;;;;;;;;;;;;;;;;;;;;;;;;;
Icona;"Vulcano Titanium";;;;;;;;;;;;;;;;;;;;;;;;;;;
Jaguar;"F-Type SVR";;;;;;;;;;;;;;;;;;;;;;;;;;;
Koenigsegg;Regera;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Aventador SV Coupé";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Terzo Millennio";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Asterion;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Egoista;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Centenario;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotus;"Evora Sport 410";;;;;;;;;;;;;;;;;;;;;;;;;;;
McLaren;P1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercedes-Benz;"AMG GT S";;;;;;;;;;;;;;;;;;;;;;;;;;;
Mitsubishi;"Lancer Evolution";;;;;;;;;;;;;;;;;;;;;;;;;;;
Nissan;"37OZ Nismo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Nissan;"GT-R Nismo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pagani;"Huayra BC";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pininfarina;"H2 Speed";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"718 Cayman";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"918 Spyder";;;;;;;;;;;;;;;;;;;;;;;;;;;
