Category;Label;Value;Filter;Position;Active
money;Credits;130000000;-;1;1
money;Tokens;34500;-;2;1
money;Epics;52000;-;3;1
money;Overlocks;524;-;4;1
money;Seasons;0;-;5;
money;Gauntlet;11300;-;6;1
money;Style;3093;-;7;1
money;VIP;64650;-;8;1
common;Speed;214;-;96;1
common;Acceleration;206;-;97;1
common;Handling;192;-;99;1
common;Nitro;209;-;99;1
rare;Speed;91;D;64;1
rare;Speed;112;C;63;1
rare;Speed;173;B;62;1
rare;Speed;199;A;61;1
rare;Speed;352;S;65;1
rare;Acceleration;80;D;74;1
rare;Acceleration;102;C;73;1
rare;Acceleration;148;B;72;1
rare;Acceleration;193;A;71;1
rare;Acceleration;356;S;75;1
rare;Handling;89;D;84;1
rare;Handling;135;C;83;1
rare;Handling;154;B;82;1
rare;Handling;185;A;81;1
rare;Handling;342;S;85;1
rare;Nitro;72;D;94;1
rare;Nitro;132;C;93;1
rare;Nitro;140;B;92;1
rare;Nitro;193;A;91;1
rare;Nitro;347;S;95;1
joker;"Joker 1";10;D;55;1
joker;"Joker 1";1;C;45;1
joker;"Joker 1";5;B;35;1
joker;"Joker 1";1;A;25;1
joker;"Joker 1";3;S;15;1
joker;"Joker 2";10;D;54;1
joker;"Joker 2";4;C;44;1
joker;"Joker 2";8;B;34;1
joker;"Joker 2";1;A;24;1
joker;"Joker 2";7;S;14;1
joker;"Joker 3";0;D;53;1
joker;"Joker 3";8;C;43;1
joker;"Joker 3";0;B;33;1
joker;"Joker 3";0;A;23;1
joker;"Joker 3";0;S;13;1
joker;"Joker 4";8;D;52;1
joker;"Joker 4";5;C;42;1
joker;"Joker 4";3;B;32;1
joker;"Joker 4";0;A;22;1
joker;"Joker 4";3;S;12;1
joker;"Joker 5";0;D;51;1
joker;"Joker 5";0;C;41;1
joker;"Joker 5";6;B;31;1
joker;"Joker 5";3;A;21;1
joker;"Joker 5";0;S;11;1
