Week;Region;Track;Class;Brand;Description;Success;Target;Task;Type
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
1;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
2;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
3;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
4;NULL;NULL;NULL;NULL;NULL;0;1;Finish;---
