Brand;Model;FullSpeed;FullAcceleration;FullHandling;FullNitro;FullUpgrade;FullCommon;FullRare;FullEpic;FullImport;FullStar1;FullStar2;FullStar3;FullStar4;FullStar5;FullStar6;FullBlueprint;FullEvo;ToInstallSpeed;ToInstallAcceleration;ToInstallHandling;ToInstallNitro;ToInstallUpgrade;ToInstallCommon;ToInstallRare;ToInstallEpic;ToInstallImport;ToUnblock;ToGold
Acura;"2017 NSX";;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;;;1;;1;;1;;
"Aston Martin";DB11;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aston Martin";Vulcan;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;"3.0 CSL Hommage";;1;;1;;1;;1;1;1;;1;;1;1;1;1;;;;1;;1;;1;;1
BMW;"M4 GTS";;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;"Z4 LCI E89";;;;;;;;;;;;;;;;;;;;;;;;;;;
Bugatti;Chiron;;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;1;1;1;;1;;1;;
Cadillac;"Cien Concept";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Camaro ZL1 50th Edition";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Corvette Grand Sport";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Camaro LT";;1;;1;;1;;1;1;1;;1;;1;1;1;1;;;;1;;1;;1;;1
Dodge;"Challenger Pack 392 Hemi Scat";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Challenger SRT8";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Viper ACR";;;;;;;;;;;;;;;;;;;;;;;;;;;
Dodge;"Viper GTS";;;;;;;;;;;;;;;;;;;;;;;;;;;
"DS Automobiles";"DS E-Tense";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Exotic Rides";W70;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"FXX K";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;F12TDF;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;LaFerrari;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"488 GTB";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford;"Shelby GT350R";;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;;;1;;1;;1;;1
Ford;GT;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glickenhaus;003S;;;;;;;;;;;;;;;;;;;;;;;;;;;
Icona;"Vulcano Titanium";;;;;;;;;;;;;;;;;;;;;;;;;;;
Jaguar;"F-Type SVR";;;;;;;;;;;;;;;;;;;;;;;;;;;
Koenigsegg;Regera;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Aventador SV Coupé";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Terzo Millennio";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Asterion;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Egoista;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Centenario;;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;1;;1;;1;;1;;
Lotus;"Evora Sport 410";;;;;;;;;;;;;;;;;;;;;;;;;;;
McLaren;P1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercedes-Benz;"AMG GT S";;;;;;;;;;;;;;;;;;;;;;;;;;;
Mitsubishi;"Lancer Evolution";;;;;;;;;;;;;;;;;;;;;;;;;;;
Nissan;"37OZ Nismo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Nissan;"GT-R Nismo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pagani;"Huayra BC";;;;;;;;;;;;;;;;;;;;;;;;;;;
Pininfarina;"H2 Speed";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"911 GTS Coupé";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"718 Cayman";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"918 Spyder";;;;;;;;;;;;;;;;;;;;;;;;;;;
Rezvani;"Beast X";;;;;;;;;;;;;;;;;;;;;;;;;;;
Rimac;"C TWO";;;;;;;;;;;;;;;;;;;;;;;;;;;
Trion;Nemesis;;;;;;;;;;;;;;;;;;;;;;;;;;;
VLF;"Force 1 V10";;;;;;;;;;;;;;;;;;;;;;;;;;;
Volkswagen;"XL Sport Concept";;;;;;;;;;;;;;;;;;;;;;;;;;;
"W Motors";"Fenyr Supersport";;;;;;;;;;;;;;;;;;;;;;;;;;;
"W Motors";"Lykan Hypersport";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;J50;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotus;"Elise Sprint 220";;;;;;;;;;;;;;;;;;;;;;;;;;;
Genty;Akylone;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maserati;Alfieri;;;;;;;;;;;;;;;;;;;;;;;;;;;
McLaren;"570S Spider";;;;;;;;;;;;;;;;;;;;;;;;;;;
Sin;"R1 550";;;;;;;;;;;;;;;;;;;;;;;;;;;
Apollo;N;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vencer;Sarthe;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zenvo;"TS1 GT Anniversary";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Huracán Evo Spyder";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Aventador J";;;;;;;;;;;;;;;;;;;;;;;;;;;
Mercedes-Benz;"SLR McLaren";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"LaFerrari Aperta";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"812 Superfast";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ginetta;G60;;;;;;;;;;;;;;;;;;;;;;;;;;;
Koenigsegg;Jesko;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"911 Targa 4S";;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrinera;"Hussarya 33";;;;;;;;;;;;;;;;;;;;;;;;;;;
Artega;"Scalo Superelletra";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aston Martin";"Vantage GT12";;;;;;;;;;;;;;;;;;;;;;;;;;;
McLaren;Senna;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"911 GT3 RS";;;;;;;;;;;;;;;;;;;;;;;;;;;
TVR;Griffith;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aston Martin";"DBS Superleggera";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Automobili Pininfarina";Battista;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Vanda Electrics";Dendrobium;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Corvette ZR1";;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;1;;1;;1;;1;;
Ford;"Shelby GR-1";;;;;;;;;;;;;;;;;;;;;;;;;;;
Italdesign;Zerouno;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mazda;Furai;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nissan;"Leaf Nismo RC";;;;;;;;;;;;;;;;;;;;;;;;;;;
Rimac;Nevera;1;;1;;1;;1;;1;;1;;;;1;1;1;1;1;1;1;;;;;;
Techrules;"AT96 track version";;;;;;;;;;;;;;;;;;;;;;;;;;;
Honda;"Civic Type-R";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lotus;Evija;;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"911 GT1 Evolution";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"911 GT2 RS Clubsport";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"Carrera GT";;1;;1;;1;;1;1;1;;1;1;;1;1;1;1;1;;1;;1;;;1;
Porsche;"Taycan Turbo S";;;;;;;;;;;;;;;;;;;;;;;;;;;
Porsche;"718 Cayman GT4 Clubsport";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;SC18;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Gallardo LP560-4";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;Veneno;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Sián FKP 37";;;;;;;;;;;;;;;;;;;;;;;;;;;
McLaren;"F1 LM";;;;;;;;;;;;;;;;;;;;;;;;;;;
BXR;"Bailey Blade GT1";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Corvette Stingray";;;;;;;;;;;;;;;;;;;;;;;;;;;
Chevrolet;"Corvette C7.R";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ford;"GT MK II";;;;;;;;;;;;;;;;;;;;;;;;;;;
SSC;Tuatara;;;;;;;;;;;;;;;;;;;;;;;;;;;
Apex;AP-0;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Aston Martin";"Valhalla Concept Car";;;;;;;;;;;;;;;;;;;;;;;;;;;
Bentley;"Mulliner Bacalar";;;;;;;;;;;;;;;;;;;;;;;;;;;
Bentley;"Continental GT3";;;;;;;;;;;;;;;;;;;;;;;;;;;
Jaguar;C-X75;1;;1;;1;;1;;1;;1;;;;1;1;1;1;1;;1;;;;;;
McLaren;Speedtail;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"Enzo Ferrari";;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;1;;1;;1;;1;;
Ferrari;"SF90 Stradale";;1;;1;;1;;1;1;1;;1;;1;1;1;1;1;1;1;1;;1;;1;;
Ferrari;"F8 Tributo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;F40;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"488 GTB Challenge EVO";;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrari;"599XX EVO";;;;;;;;;;;;;;;;;;;;;;;;;;;
Apollo;IE;;;;;;;;;;;;;;;;;;;;;;;;;;;
BMW;"I8 Roadster";;;;;;;;;;;;;;;;;;;;;;;;;;;
Bugatti;"La Voiture Noire";;;;;;;;;;;;;;;;;;;;;;;;;;;
Bugatti;Divo;;;;;;;;;;;;;;;;;;;;;;;;;;;
Citroën;"GT by Citroën";;;;;;;;;;;;;;;;;;;;;;;;;;;
Lamborghini;"Huracán Super Trofeo Evo";;;;;;;;;;;;;;;;;;;;;;;;;;;
Peugeot;Onyx;;;;;;;;;1;;1;;;;1;1;1;1;1;1;;;;;;;
Acura;"NSX GT3 EVO";;;;;;;;;;;;;;;;;;;;;;;;;;;
Aspark;Owl;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inferno Automobili";"Settimo Cerchio";;;;;;;;;;;;;;;;;;;;;;;;;;;
