Brand;Model;Speed;Acceleration;Handling;Nitro;Mark;Division
Acura;"2017 NSX";3;9;3;2;4;0
"Aston Martin";DB11;3;9;3;3;4;0
"Aston Martin";Vulcan;3;9;3;2;4;0
BMW;"3.0 CSL Hommage";9;9;3;3;6;0
BMW;"M4 GTS";3;9;2;3;4;0
BMW;"Z4 LCI E89";9;9;3;3;6;0
Bugatti;Chiron;1;2;3;2;2;0
Cadillac;"Cien Concept";2;9;9;2;5;0
Chevrolet;"Camaro LT";9;9;3;2;5;0
Chevrolet;"Camaro ZL1 50th Edition";9;9;1;2;5;0
Chevrolet;"Corvette Grand Sport";3;9;1;1;3;0
Dodge;"Viper ACR";3;9;1;2;3;0
Dodge;"Challenger SRT8";3;9;9;3;6;0
Dodge;"Viper GTS";2;3;3;2;2;0
Dodge;"Challenger Pack 392 Hemi Scat";9;9;3;2;5;0
"DS Automobiles";"DS E-Tense";9;9;1;2;5;0
"Exotic Rides";W70;3;3;3;3;3;0
Ferrari;F12TDF;2;9;3;1;3;0
Ferrari;"FXX K";2;2;3;2;2;0
Ferrari;LaFerrari;2;3;3;2;2;0
Ferrari;"488 GTB";3;3;3;2;2;0
Ford;GT;2;9;9;3;5;0
Ford;"Shelby GT350R";9;9;3;3;6;0
Glickenhaus;003S;2;9;9;2;5;0
Icona;"Vulcano Titanium";2;3;3;2;2;0
Jaguar;"F-Type SVR";3;9;3;3;4;0
Koenigsegg;Regera;1;3;3;3;2;0
Lamborghini;Centenario;2;3;3;2;2;0
Lamborghini;"Aventador SV Coupé";2;3;3;2;2;0
Lamborghini;"Terzo Millennio";2;3;3;2;2;0
Lamborghini;Asterion;3;3;3;2;2;0
Lamborghini;Egoista;2;2;2;2;2;0
Lotus;"Evora Sport 410";3;9;3;3;4;0
McLaren;P1;2;2;3;2;2;0
Mercedes-Benz;"AMG GT S";3;9;1;2;3;0
Mitsubishi;"Lancer Evolution";9;9;3;2;5;0
Nissan;"37OZ Nismo";9;9;1;2;5;0
Nissan;"GT-R Nismo";3;2;2;2;2;0
Pagani;"Huayra BC";2;3;2;1;2;0
Pininfarina;"H2 Speed";3;2;3;2;2;0
Porsche;"718 Cayman";9;9;2;2;5;0
Porsche;"918 Spyder";2;2;3;1;2;0
Porsche;"911 GTS Coupé";3;9;3;3;4;0
Rezvani;"Beast X";9;2;2;2;3;0
Rimac;"C TWO";1;1;3;3;2;0
Trion;Nemesis;1;9;3;9;5;0
VLF;"Force 1 V10";2;3;3;2;2;0
Volkswagen;"XL Sport Concept";9;9;2;2;5;0
"W Motors";"Fenyr Supersport";1;3;3;2;2;0
"W Motors";"Lykan Hypersport";1;3;3;3;2;0
Ferrari;J50;2;3;3;2;2;0
Lotus;"Elise Sprint 220";9;3;1;2;3;0
Genty;Akylone;2;3;2;2;2;0
Maserati;Alfieri;9;2;2;2;3;0
McLaren;"570S Spider";2;9;2;2;3;0
Sin;"R1 550";2;9;3;1;3;0
Apollo;N;2;3;3;2;2;0
Vencer;Sarthe;2;9;2;3;4;0
Zenvo;"TS1 GT Anniversary";1;3;3;2;2;0
Lamborghini;"Huracán Evo Spyder";3;2;2;1;2;0
Lamborghini;"Aventador J";2;9;2;1;3;0
Mercedes-Benz;"SLR McLaren";2;9;2;1;3;0
Ferrari;"812 Superfast";2;3;2;2;2;0
Ferrari;"LaFerrari Aperta";2;3;1;2;2;0
Ginetta;G60;9;9;2;2;5;0
Koenigsegg;Jesko;1;3;3;3;2;0
Porsche;"911 Targa 4S";3;9;3;9;6;0
Arrinera;"Hussarya 33";2;9;3;3;4;0
Artega;"Scalo Superelletra";3;9;3;2;4;0
"Aston Martin";"Vantage GT12";3;9;1;1;3;0
McLaren;Senna;2;3;1;1;1;0
Porsche;"911 GT3 RS";3;2;1;1;1;0
TVR;Griffith;3;9;3;9;6;0
"Aston Martin";"DBS Superleggera";2;9;2;2;3;0
"Automobili Pininfarina";Battista;2;1;1;1;1;0
"Vanda Electrics";Dendrobium;3;1;1;1;1;0
Chevrolet;"Corvette ZR1";2;3;2;1;2;0
Ford;"Shelby GR-1";3;9;2;2;4;0
Italdesign;Zerouno;2;9;9;3;5;0
Mazda;Furai;3;3;3;3;3;0
Nissan;"Leaf Nismo RC";9;9;3;2;5;0
Rimac;Nevera;1;1;3;3;2;0
Techrules;"AT96 track version";2;2;2;2;2;0
Honda;"Civic Type-R";9;3;2;2;4;0
Lotus;Evija;2;3;2;2;2;0
Porsche;"718 Cayman GT4 Clubsport";3;9;1;2;3;0
Porsche;"911 GT1 Evolution";3;9;3;2;4;0
Porsche;"911 GT2 RS Clubsport";2;2;1;2;1;0
Porsche;"Carrera GT";3;9;1;1;3;0
Porsche;"Taycan Turbo S";9;2;2;3;4;0
Lamborghini;"Gallardo LP560-4";3;9;2;3;4;0
Lamborghini;SC18;2;3;2;1;2;0
Lamborghini;Veneno;2;3;2;1;2;0
Lamborghini;"Sián FKP 37";2;3;1;1;1;0
McLaren;"F1 LM";2;9;2;2;3;0
BXR;"Bailey Blade GT1";1;3;3;2;2;0
Chevrolet;"Corvette C7.R";3;3;3;3;3;0
Chevrolet;"Corvette Stingray";3;3;2;2;2;0
Ford;"GT MK II";3;1;2;2;2;0
SSC;Tuatara;1;3;3;2;2;0
Apex;AP-0;3;3;1;1;2;0
"Aston Martin";"Valhalla Concept Car";2;3;1;3;2;0
Bentley;"Mulliner Bacalar";3;9;2;3;4;0
Bentley;"Continental GT3";3;9;2;3;4;0
Jaguar;C-X75;2;9;2;2;3;0
McLaren;Speedtail;1;3;3;2;2;0
Ferrari;F40;3;9;3;3;4;0
Ferrari;"F8 Tributo";2;2;1;2;1;0
Ferrari;"488 GTB Challenge EVO";2;3;2;1;2;0
Ferrari;"599XX EVO";3;3;1;2;2;0
Ferrari;"SF90 Stradale";2;1;1;2;1;0
Ferrari;"Enzo Ferrari";2;9;2;2;3;0
Apollo;IE;3;2;2;2;2;0
BMW;"I8 Roadster";9;9;2;2;5;0
Bugatti;"La Voiture Noire";1;2;3;2;2;0
Bugatti;Divo;2;2;2;2;2;0
Citroën;"GT by Citroën";2;9;2;2;3;0
Lamborghini;"Huracán Super Trofeo Evo";3;3;2;3;2;0
Peugeot;Onyx;2;3;1;3;2;0
Acura;"NSX GT3 EVO";3;9;1;2;3;0
Aspark;Owl;1;1;3;3;2;0
"Inferno Automobili";Inferno;1;2;3;1;1;0
"Inferno Automobili";"Settimo Cerchio";1;2;2;9;3;0
Infiniti;"Projet Black S";9;9;2;2;5;0
Nio;EP9;3;2;2;2;2;0
"ATS Automobili";"Corsa RRTurbo";3;1;3;3;2;0
Ferrari;Roma;3;9;2;2;4;0
Italdesign;DaVinci;9;2;2;3;4;0
Lamborghini;"Essenza SCV12";3;2;2;2;2;0
Lamborghini;"Murcielago LP 640 Roadster";2;9;2;2;3;0
Mazzanti;"Evantra Millecavalli";1;3;2;2;2;0
Pagani;Imola;2;3;2;2;2;0
"Aston Martin";Valkyrie;2;3;2;1;2;0
"Aston Martin";Victor;2;9;2;2;3;0
Renault;"R.S. 01";3;2;2;2;2;0
Volkswagen;"W12 Coupe";2;9;1;3;3;0
Zenvo;TSR-S;3;2;1;2;2;0
"Aston Martin";"V12 Speedster";3;9;1;2;3;0
Bugatti;"Veyron 16.4 Grand Sport Vitesse";1;3;3;3;2;0
Hennessey;"Venom F5";1;3;3;3;2;0
Lamborghini;"Aventador SVJ Roadster";2;3;2;2;2;0
Lamborghini;SC20;2;3;2;2;2;0
McLaren;Elva;3;3;2;2;2;0
Drako;GTE;3;3;3;2;2;0
"Lego Technic";"McLaren Senna GTR";3;3;2;2;2;0
Pagani;"Zonda HP Barchetta";2;9;2;2;3;0
Raesr;"Tachyon Speed";1;9;3;3;4;0
Renault;TreZor;9;9;2;2;5;0
Rimac;Concept_One;2;1;1;3;1;0
Toroidion;1MW;1;3;2;3;2;0
Volkswagen;"Electric R";9;1;3;2;3;0
Arash;AF10;3;9;3;3;4;0
Glickenhaus;004C;3;9;3;2;4;0
Glickenhaus;007S;2;1;1;3;1;0
Koenigsegg;Gemera;1;1;2;3;1;0
Lotus;Emira;3;9;3;3;4;0
McLaren;GT;3;3;2;3;2;0
Naran;"Hyper Coupé";2;2;2;2;2;0
Nissan;"GTR-50 Italdesign";3;1;2;2;2;0
Pagani;"Zonda R";2;2;3;2;2;0
Saleen;S1;3;9;1;2;3;0
"Aston Martin";One77;2;9;2;3;4;0
McLaren;"Senna GTR";2;3;2;1;2;0
Puritalia;Berlinetta;3;2;1;2;2;0
Ultima;RS;1;3;2;2;2;0
Vision;1789;2;3;3;2;2;0
Arash;"AF8 Falcon Édition";3;9;2;1;3;0
Bolwell;"MK X Nagari 500";3;3;2;2;2;0
Brabham;BT62;3;2;2;1;2;0
Tushek;"TS 900 Racer Pro";2;1;2;2;1;0
Lamborghini;"Countach 25th Anniversary";3;9;3;9;6;0
Lamborghini;"Reventón Roadster";2;9;2;2;3;0
Lamborghini;"Miura Concept";3;9;3;2;4;0
Lamborghini;"Countach LPI 800-4";2;3;1;2;2;0
Lamborghini;"Diablo GT";3;9;2;3;4;0
Lamborghini;"Sesto Elemento";3;1;2;2;2;0
Bentley;"Continental GT Speed";3;9;2;3;4;0
Bugatti;Centodieci;1;1;3;1;1;0
Bugatti;EB110;3;9;2;3;4;0
Ferrari;"Monza SP1";9;9;1;2;5;0
McLaren;765LT;3;3;2;2;2;0
McLaren;"600LT Spider";3;1;1;2;1;0
Pagani;"Huayra R";2;2;3;2;2;0
Renault;Dezir;9;9;2;2;5;0
Ajlani;Drakuma;1;3;3;2;2;0
Jaguar;"XE SV Project 8";3;9;3;3;4;0
Koenigsegg;"Agera RS";1;9;2;3;3;0
Nissan;"R390 GT1";2;9;3;3;4;0
Peugeot;SR1;3;9;3;9;6;0
