Brand;Model;Stars;GameUpdate;CarOrder;StatOrder;Level;Epic;Evo;SettingClass
ATS Automobili;Corsa RRTurbo;4;18;27;47;11;2;0;class-c
ATS Automobili;GT;6;35;8;72;3;2;0;class-s
Alfa Romeo;Giulia GTAm;5;35;34;30;8;5;0;class-d
Aston Martin;DBS 770 Ultimate;5;45;48;25;8;0;0;class-c
Aston Martin;DBS GT Zagato;6;34;26;21;12;1;0;class-a
Aston Martin;DBS Superleggera;5;8;47;16;12;8;0;class-b
Aston Martin;V12 Speedster;4;20;10;28;11;4;0;class-c
Aston Martin;Valhalla Concept Car;6;14;53;12;13;16;0;class-a
Aston Martin;Vantage GT12;5;7;37;11;12;8;0;class-b
Aston Martin;Vantage V12 2022;5;36;37;26;12;3;0;class-d
Aston Martin;DB11;3;0;2;69;10;4;0;class-b
Aston Martin;DB12;5;37;27;33;10;1;0;class-b
Aston Martin;One77;5;23;43;35;12;8;0;class-b
Aston Martin;Valkyrie;6;19;24;49;8;8;0;class-s
Aston Martin;Valour;4;39;14;65;9;5;0;class-b
Aston Martin;Victor;6;19;36;22;13;16;0;class-a
Aston Martin;Vulcan;4;0;1;63;11;8;0;class-a
Automobili Pininfarina;Battista Edizione Nino Farina;6;39;28;57;13;16;0;class-a
Automobili Pininfarina;B95;6;45;62;35;6;5;0;class-a
Automobili Pininfarina;Battista;6;8;27;47;13;16;0;class-s
DS Automobiles;DS E-Tense;3;0;8;10;10;0;0;class-d
DS Automobiles;E-TENSE Performance;5;40;41;23;8;5;0;class-d
De Tomaso;P72;6;31;60;10;12;12;0;class-a
De Tomaso;P900;5;36;38;26;10;2;0;class-c
Exotic Rides;W70;3;0;5;70;10;4;0;class-b
FV Frangivento;Sorpasso GT3;6;30;17;70;6;3;0;class-s
FV Frangivento;Asfanè;6;36;49;30;10;1;0;class-a
FV Frangivento;GT65;5;41;57;42;10;2;0;class-b
Faraday Future;FFZero1;6;28;30;60;8;3;0;class-s
Ferrante Design;Elytron;6;48;75;99;2;0;0;class-s
Formule E;GEN 2 Asphalt Édition;5;35;28;5;12;8;0;class-c
Formule E;GEN 3 EVO Championship Edition;5;43;34;45;12;8;0;class-b
Inferno Automobili;Settimo Cerchio;6;17;99;24;0;0;0;class-s
Inferno Automobili;Inferno;6;17;37;28;8;6;0;class-s
Lego Technic;Aston Martin Valkyrie;5;43;17;40;6;5;0;class-a
Lego Technic;BMW M4 GT3 EVO;5;47;72;99;3;2;0;class-b
Lego Technic;Bugatti Chiron Pur Sport;6;46;76;99;3;1;0;class-s
Lego Technic;Chevrolet Corvette Stingray;5;41;29;40;12;2;0;class-b
Lego Technic;Ferrari FXX K;5;44;8;56;6;0;0;class-a
