Brand;Model;SettingClass
"ATS Automobili";"Corsa RRTurbo";class-c
"ATS Automobili";GT;class-s
"Alfa Romeo";"Giulia GTAm";class-d
"Aston Martin";"DBS 770 Ultimate";class-c
"Aston Martin";"DBS GT Zagato";class-a
"Aston Martin";"DBS Superleggera";class-b
"Aston Martin";"V12 Speedster";class-c
"Aston Martin";"Valhalla Concept Car";class-a
"Aston Martin";"Vantage GT12";class-b
"Aston Martin";"Vantage V12 2022";class-d
"Aston Martin";DB11;class-b
"Aston Martin";DB12;class-b
"Aston Martin";One77;class-b
"Aston Martin";Valkyrie;class-s
"Aston Martin";Valour;class-b
"Aston Martin";Victor;class-a
"Aston Martin";Vulcan;class-a
"Automobili Pininfarina";"Battista Edizione Nino Farina";class-a
"Automobili Pininfarina";B95;class-a
"Automobili Pininfarina";Battista;class-s
"DS Automobiles";"DS E-Tense";class-d
"DS Automobiles";"E-TENSE Performance";class-d
"De Tomaso";P72;class-a
"De Tomaso";P900;class-c
"Exotic Rides";W70;class-b
"FV Frangivento";"Sorpasso GT3";class-s
"FV Frangivento";Asfanè;class-a
"FV Frangivento";GT65;class-b
"Faraday Future";FFZero1;class-s
"Ferrante Design";Elytron;class-s
"Formule E";"GEN 2 Asphalt Édition";class-c
"Formule E";"GEN 3 EVO Championship Edition";class-b
"Inferno Automobili";"Settimo Cerchio";class-s
"Inferno Automobili";Inferno;class-s
"Lego Technic";"Aston Martin Valkyrie";class-a
"Lego Technic";"BMW M4 GT3 EVO";class-b
"Lego Technic";"Bugatti Chiron Pur Sport";class-s
"Lego Technic";"Chevrolet Corvette Stingray";class-b
"Lego Technic";"Ferrari FXX K";class-a
"Lego Technic";"Lamborghini Revuelto";class-b
"Lego Technic";"McLaren Senna GTR";class-a
"Spania GTA";"2015 GTA Spano";class-s
"Torino Design";"Super Sport";class-s
"Vanda Electrics";Dendrobium;class-a
"W Motors";"Fenyr Supersport";class-s
"W Motors";"Lykan Hypersport";class-s
"W Motors";"Lykan Édition Néon";class-s
Acura;"2017 NSX";class-c
Acura;"NSX GT3 EVO";class-c
Ajlani;Drakuma;class-s
Apex;AP-0;class-b
Apollo;EVO;class-b
Apollo;IE;class-b
Apollo;N;class-b
Arash;"AF8 Falcon Édition";class-b
Arash;AF10;class-b
Arash;Imperium;class-s
Ares;Panther;class-b
Ares;S1;class-c
Arrinera;"Hussarya 33";class-c
Artega;"Scalo Superelletra";class-c
Aspark;Owl;class-s
Audi;"R18 E-Tron Quattro 2012";class-s
Audi;"R8 Coupé V1O Performance Quattro";class-c
Audi;"R8 LMPI 2000";class-s
BMW;"3.0 CSL Hommage";class-c
BMW;"I8 Roadster";class-d
BMW;"M Hybrid V8";class-b
BMW;"M4 GT3";class-b
BMW;"M4 GTS";class-c
BMW;"Z4 LCI E89";class-d
BXR;"Bailey Blade GT1";class-s
Bentley;"Continental GT Speed";class-a
Bentley;"Continental GT3";class-d
Bentley;"Mulliner Bacalar";class-c
Bentley;"Speed 8";class-a
Bolwell;"MK X Nagari 500";class-c
Brabham;BT62;class-c
Bugatti;"Chiron Pur Sport";class-s
Bugatti;"Chiron Super Sport 300+";class-s
Bugatti;"La Voiture Noire";class-s
Bugatti;"Veyron 16.4 Grand Sport Vitesse";class-s
Bugatti;Bolide;class-s
Bugatti;Centodieci;class-s
Bugatti;Chiron;class-s
Bugatti;Divo;class-s
Bugatti;EB110;class-c
Bugatti;Mistral;class-s
Cadillac;"Cien Concept";class-b
Chevrolet;"Camaro LT";class-d
Chevrolet;"Camaro ZL1 50th Edition";class-c
Chevrolet;"Corvette C7.R";class-d
Chevrolet;"Corvette Grand Sport 4th of July Edition";class-a
Chevrolet;"Corvette Grand Sport";class-b
Chevrolet;"Corvette Stingray";class-c
Chevrolet;"Corvette ZR1";class-a
Chrysler;ME412;class-s
Citroën;"DS Survolt";class-c
Citroën;"GT by Citroën";class-a
Czinger;21C;class-s
Deus;Vayanne;class-s
Devel;Sixteen;class-s
Dodge;"Challenger Pack 392 Hemi Scat";class-d
Dodge;"Challenger SRT8";class-c
Dodge;"Charger SRT Hellcat Redeye Widebody";class-c
Dodge;"Viper ACR";class-c
Dodge;"Viper GTS";class-a
Donkervoort;"D8 GTO";class-c
Drako;GTE;class-b
Ferrari;"12 Cilindri";class-b
Ferrari;"296 GTB";class-c
Ferrari;"488 GTB Challenge EVO";class-b
Ferrari;"488 GTB";class-b
Ferrari;"499P Modificata";class-a
Ferrari;"599XX EVO";class-c
Ferrari;"812 Superfast";class-a
Ferrari;"Daytona SP3";class-c
Ferrari;"Enzo Ferrari";class-b
Ferrari;"F12 Berlinetta";class-b
Ferrari;"F8 Tributo";class-a
Ferrari;"FXX K";class-s
Ferrari;"LaFerrari Aperta";class-a
Ferrari;"Monza SP1";class-c
Ferrari;"SF90 Stradale";class-s
Ferrari;"SF90 XX Stradale";class-a
Ferrari;F12TDF;class-b
Ferrari;F40;class-c
Ferrari;F50;class-b
Ferrari;J50;class-a
Ferrari;LaFerrari;class-a
Ferrari;Roma;class-b
Ford;"GT Frankie Edition";class-a
Ford;"GT MK II";class-b
Ford;"GT MK IV";class-b
Ford;"Mustang Mach-E1400";class-d
Ford;"Mustang RTR Spec 5 10th Anniversary";class-b
Ford;"Mustang RTR Spec 5-FD";class-s
Ford;"Shelby GR-1";class-c
Ford;"Shelby GT350R";class-d
Ford;"Shelby Super Snake";class-a
Ford;"Team Fordzilla P1";class-a
Ford;GT;class-b
Genty;Akylone;class-a
Ginetta;Akula;class-b
Ginetta;G60;class-d
Glickenhaus;003S;class-b
Glickenhaus;004C;class-d
Glickenhaus;007S;class-a
HTT;"Locus Pléthore LC750";class-s
Hennessey;"Venom F5";class-s
Honda;"Civic Type-R";class-d
Hyundai;"Ioniq 5 N";class-d
Hyundai;"N Vision 74 Concept";class-s
Icona;"Vulcano Spyder";class-s
Icona;"Vulcano Titanium";class-s
Infiniti;"Projet Black S";class-d
Italdesign;DaVinci;class-d
Italdesign;Zerouno;class-b
Jaguar;"F-Type SVR";class-b
Jaguar;"XE SV Project 8";class-c
Jaguar;"XJ220S TWR";class-s
Jaguar;"XKR-S GT";class-c
Jaguar;C-X75;class-a
Jaguar;XJR-15;class-c
Jaguar;XJR-9;class-a
KTM;"X-Bow GTX";class-d
Kepler;Motion;class-b
Kimera;EVO37;class-d
Koenigsegg;"Agera RS";class-s
Koenigsegg;"Jesko Absolut";class-s
Koenigsegg;CC850;class-s
Koenigsegg;CCXR;class-s
Koenigsegg;Chimera;class-s
Koenigsegg;Gemera;class-s
Koenigsegg;Jesko;class-s
Koenigsegg;One:1;class-s
Koenigsegg;Regera;class-s
Lamborghini;"Aventador J";class-a
Lamborghini;"Aventador SV Coupé";class-a
Lamborghini;"Aventador SVJ Roadster";class-a
Lamborghini;"Countach 25th Anniversary";class-d
Lamborghini;"Countach LPI 800-4";class-a
Lamborghini;"Diablo GT";class-c
Lamborghini;"Essenza SCV12";class-b
Lamborghini;"Gallardo LP560-4";class-c
Lamborghini;"Huracán Evo Spyder";class-b
Lamborghini;"Huracán STO";class-b
Lamborghini;"Huracán Sterrato";class-d
Lamborghini;"Huracán Super Trofeo Evo";class-d
Lamborghini;"Miura Concept";class-c
Lamborghini;"Murcielago LP 640 Roadster";class-b
Lamborghini;"Reventón Roadster";class-b
Lamborghini;"Sesto Elemento";class-b
Lamborghini;"Sián FKP 37";class-s
Lamborghini;"Terzo Millennio";class-s
Lamborghini;Asterion;class-b
Lamborghini;Autentica;class-s
Lamborghini;Centenario;class-s
Lamborghini;Egoista;class-s
Lamborghini;Invencible;class-b
Lamborghini;Revuelto;class-b
Lamborghini;SC18;class-a
Lamborghini;SC20;class-a
Lamborghini;SC63;class-b
Lamborghini;Temerario;class-b
Lamborghini;Veneno;class-s
Lexus;"Electrified Sport Concept";class-a
Lexus;"LFA Nürburgring Package";class-c
Lotus;"Elise Sprint 220";class-d
Lotus;"Evora Sport 410";class-c
Lotus;E-R9;class-b
Lotus;Emeya;class-d
Lotus;Emira;class-d
Lotus;Evija;class-b
Maserati;"MC20 GT2";class-c
Maserati;Alfieri;class-c
Maserati;MC12;class-c
Maserati;MC20;class-b
Mazda;Furai;class-d
Mazzanti;"Evantra Millecavalli";class-s
McLaren;"570S Spider";class-a
McLaren;"600LT Spider";class-b
McLaren;"650S GT3";class-a
McLaren;"750S Coupé";class-b
McLaren;"F1 LM";class-b
McLaren;"Senna GTR";class-a
McLaren;"Solus GT";class-b
McLaren;765LT;class-b
McLaren;Artura;class-b
McLaren;Elva;class-b
McLaren;GT;class-c
McLaren;P1;class-a
McLaren;Sabre;class-a
McLaren;Senna;class-s
McLaren;Speedtail;class-s
McMurtry;Spéirling;class-a
Mercedes-Benz;"2022 Showcar Vision AMG";class-c
Mercedes-Benz;"AMG GT Black Series";class-c
Mercedes-Benz;"AMG GT S";class-c
Mercedes-Benz;"C 63 AMG DTM";class-c
Mercedes-Benz;"Mercedes-AMG ONE";class-a
Mercedes-Benz;"SLR McLaren";class-b
Mercedes-Benz;"Silver Lightning";class-a
Mercedes-Benz;"Vision One-Eleven";class-a
Mercedes-Benz;C11;class-s
Mercedes-Benz;CLK-GTR;class-c
Mitsubishi;"Lancer Evolution";class-d
Mosler;"Super GT";class-s
Naran;"Hyper Coupé";class-s
Nilu27;Nilu;class-s
Nio;EP9;class-a
Nissan;"370Z Édition Néon";class-d
Nissan;"37OZ Nismo";class-d
Nissan;"GT-R Nismo";class-a
Nissan;"GT-R Néon Édition";class-s
Nissan;"GTR-50 Italdesign";class-b
Nissan;"Leaf Nismo RC";class-d
Nissan;"R390 GT1";class-b
Nissan;"Z GT4";class-c
Noble;"M600 Speedster";class-a
Pagani;"Huayra BC";class-a
Pagani;"Huayra R";class-b
Pagani;"Utopia Coupé";class-a
Pagani;"Zonda Cinque";class-a
Pagani;"Zonda HP Barchetta";class-a
Pagani;"Zonda R";class-a
Pagani;Imola;class-a
Peugeot;9X8;class-a
Peugeot;Onyx;class-a
Peugeot;SR1;class-d
Pininfarina;"H2 Speed";class-c
Pininfarina;Teorema;class-s
Porsche;"718 Cayman GT4 Clubsport";class-c
Porsche;"718 Cayman";class-d
Porsche;"911 50 Years Porsche Design";class-c
Porsche;"911 Carrera RS 3.8";class-d
Porsche;"911 GT1 Evolution";class-b
Porsche;"911 GT2 RS Clubsport";class-a
Porsche;"911 GT3 R rennsport";class-c
Porsche;"911 GT3 RS";class-b
Porsche;"911 GTS Coupé";class-b
Porsche;"911 Targa 4S";class-d
Porsche;"911 Turbo 50 Years";class-b
Porsche;"917 Living Legend";class-b
Porsche;"918 Spyder Asphalt Edition";class-s
Porsche;"918 Spyder";class-a
Porsche;"919 Street";class-a
Porsche;"935 (2019)";class-a
Porsche;"935 Dragonforce Edition";class-a
Porsche;"Boxster 25th Anniversary";class-c
Porsche;"Carrera GT";class-b
Porsche;"Mission R";class-c
Porsche;"Panamera Turbo S";class-c
Porsche;"Taycan Turbo S";class-d
Praga;Bohema;class-c
Praga;R1;class-d
Puritalia;Berlinetta;class-b
Raesr;"Tachyon Speed";class-s
Raesr;Aglaia;class-s
Raesr;Tartarus;class-s
Renault;"R.S. 01";class-c
Renault;Dezir;class-d
Renault;TreZor;class-d
Rezvani;"Beast X";class-c
Rimac;"C TWO";class-s
Rimac;"Concept S";class-s
Rimac;"Nevera R";class-s
Rimac;"Nevera Time Attack";class-s
Rimac;Concept_One;class-a
Rimac;Nevera;class-s
SSC;"Tuatara Striker";class-s
SSC;"Ultimate Aero TT";class-s
SSC;Tuatara;class-s
Saleen;"S7 Twin Turbo";class-s
Saleen;S1;class-c
Sin;"R1 550";class-b
TVR;"Cerbera Speed 12";class-s
TVR;Griffith;class-d
TVR;Sagaris;class-c
Techrules;"AT96 track version";class-a
Toroidion;1MW;class-s
Toyota;"GR Super Sport Concept";class-b
Toyota;"GR Supra 2023";class-d
Toyota;"GR Supra Racing Concept";class-d
Trion;Nemesis;class-s
Tushek;"Aeon E";class-s
Tushek;"TS 900 Racer Pro";class-s
Ultima;RS;class-s
VLF;"Force 1 V10";class-a
Vencer;Sarthe;class-c
Vision;1789;class-s
Volkswagen;"Electric R";class-d
Volkswagen;"W12 Coupe";class-b
Volkswagen;"XL Sport Concept";class-d
Zenvo;"Aurora Agil";class-a
Zenvo;"Aurora Tur";class-s
Zenvo;"TS1 GT Anniversary";class-s
Zenvo;TSR-S;class-b
