Brand;Model;SettingPrice
Acura;"2017 NSX";"0499430"
"Aston Martin";Vulcan;"0688720"
"Aston Martin";DB11;"0321740"
BMW;"M4 GTS";"0241700"
BMW;"Z4 LCI E89";"0146550"
BMW;"3.0 CSL Hommage";"0241700"
Bugatti;Chiron;"7741500"
Cadillac;"Cien Concept";"0594180"
Chevrolet;"Camaro LT";"0146550"
Chevrolet;"Camaro ZL1 50th Edition";"0241700"
Chevrolet;"Corvette Grand Sport";"1020910"
Dodge;"Viper ACR";"0499430"
Dodge;"Viper GTS";"0688720"
Dodge;"Challenger Pack 392 Hemi Scat";"0146550"
Dodge;"Challenger SRT8";"0241700"
"DS Automobiles";"DS E-Tense";"0146550"
"Exotic Rides";W70;"0321740"
Ferrari;F12TDF;"1020910"
Ferrari;LaFerrari;"1136060"
Ferrari;"488 GTB";"0594180"
Ferrari;"FXX K";"7741500"
Ford;"Shelby GT350R";"0404990"
Ford;GT;"0594180"
Glickenhaus;003S;"0594180"
Icona;"Vulcano Titanium";"7741500"
Jaguar;"F-Type SVR";"0594180"
Koenigsegg;Regera;"7741500"
Lamborghini;"Aventador SV Coupé";"1136060"
Lamborghini;Egoista;"7741500"
Lamborghini;"Terzo Millennio";"7741500"
Lamborghini;Centenario;"7741500"
Lamborghini;Asterion;"0594180"
Lotus;"Evora Sport 410";"0241700"
McLaren;P1;"1136060"
Mercedes-Benz;"AMG GT S";"0241700"
Mitsubishi;"Lancer Evolution";"0146550"
Nissan;"37OZ Nismo";"0146550"
Nissan;"GT-R Nismo";"0688720"
Pagani;"Huayra BC";"1908790"
Pininfarina;"H2 Speed";"0499430"
Porsche;"911 GTS Coupé";"0321740"
Porsche;"718 Cayman";"0404990"
Porsche;"918 Spyder";"1136060"
Rezvani;"Beast X";"0499430"
Rimac;"C TWO";"0000000"
Trion;Nemesis;"7741500"
VLF;"Force 1 V10";"1136060"
Volkswagen;"XL Sport Concept";"0146550"
"W Motors";"Lykan Hypersport";"7741500"
"W Motors";"Fenyr Supersport";"7741500"
Ferrari;J50;"0688720"
Lotus;"Elise Sprint 220";"0404990"
Genty;Akylone;"5571900"
Maserati;Alfieri;"0998460"
McLaren;"570S Spider";"5571900"
Sin;"R1 550";"2042320"
Apollo;N;"2042320"
Vencer;Sarthe;"1811030"
Zenvo;"TS1 GT Anniversary";"7741500"
Lamborghini;"Huracán Evo Spyder";"2042320"
Lamborghini;"Aventador J";"2482450"
Mercedes-Benz;"SLR McLaren";"2042320"
Ferrari;"LaFerrari Aperta";"5571900"
Ferrari;"812 Superfast";"2482450"
Ginetta;G60;"0809670"
Koenigsegg;Jesko;"7741500"
Porsche;"911 Targa 4S";"0809670"
Arrinera;"Hussarya 33";"1811030"
Artega;"Scalo Superelletra";"0998460"
"Aston Martin";"Vantage GT12";"2042320"
McLaren;Senna;"7741500"
Porsche;"911 GT3 RS";"3610390"
TVR;Griffith;"0809670"
"Aston Martin";"DBS Superleggera";"2042320"
"Automobili Pininfarina";Battista;"7741500"
"Vanda Electrics";Dendrobium;"5571900"
Chevrolet;"Corvette ZR1";"2482450"
Ford;"Shelby GR-1";"0998460"
Italdesign;Zerouno;"1188150"
Mazda;Furai;"0809670"
Nissan;"Leaf Nismo RC";"0146550"
Rimac;Nevera;"7741500"
Techrules;"AT96 track version";"5571900"
Honda;"Civic Type-R";"0809670"
Lotus;Evija;"3610390"
Porsche;"911 GT2 RS Clubsport";"5571900"
Porsche;"718 Cayman GT4 Clubsport";"1811030"
Porsche;"Carrera GT";"2042320"
Porsche;"911 GT1 Evolution";"1188150"
Porsche;"Taycan Turbo S";"0809670"
Lamborghini;"Gallardo LP560-4";"1811030"
Lamborghini;Veneno;"7741500"
Lamborghini;"Sián FKP 37";"7741500"
Lamborghini;SC18;"5571900"
McLaren;"F1 LM";"3610390"
BXR;"Bailey Blade GT1";"7741500"
Chevrolet;"Corvette Stingray";"1811030"
Chevrolet;"Corvette C7.R";"1446840"
Ford;"GT MK II";"1188150"
SSC;Tuatara;"7741500"
Apex;AP-0;"2042320"
"Aston Martin";"Valhalla Concept Car";"5571900"
Bentley;"Mulliner Bacalar";"1811030"
Bentley;"Continental GT3";"0809670"
Jaguar;C-X75;"2482450"
McLaren;Speedtail;"7741500"
Ferrari;"599XX EVO";"1811030"
Ferrari;"Enzo Ferrari";"2042320"
Ferrari;"F8 Tributo";"5571900"
Ferrari;"SF90 Stradale";"7741500"
Ferrari;F40;"1811030"
Ferrari;"488 GTB Challenge EVO";"3610390"
Apollo;IE;"2042320"
BMW;"I8 Roadster";"0809670"
Bugatti;"La Voiture Noire";"7741500"
Bugatti;Divo;"7741500"
Citroën;"GT by Citroën";"5571900"
Lamborghini;"Huracán Super Trofeo Evo";"1446840"
Peugeot;Onyx;"5571900"
Acura;"NSX GT3 EVO";"1811030"
Aspark;Owl;"7741500"
"Inferno Automobili";Inferno;"7741500"
"Inferno Automobili";"Settimo Cerchio";"7741500"
Infiniti;"Projet Black S";"0809670"
Nio;EP9;"1446840"
"ATS Automobili";"Corsa RRTurbo";"0998460"
Ferrari;Roma;"1188150"
Italdesign;DaVinci;"0809670"
Lamborghini;"Murcielago LP 640 Roadster";"2042320"
Lamborghini;"Essenza SCV12";"2042320"
Mazzanti;"Evantra Millecavalli";"7741500"
Pagani;Imola;"5571900"
"Aston Martin";Valkyrie;"7741500"
"Aston Martin";Victor;"5571900"
Renault;"R.S. 01";"1811030"
Volkswagen;"W12 Coupe";"3610390"
Zenvo;TSR-S;"2042320"
"Aston Martin";"V12 Speedster";"0998460"
Bugatti;"Veyron 16.4 Grand Sport Vitesse";"7741500"
Hennessey;"Venom F5";"7741500"
Lamborghini;"Aventador SVJ Roadster";"5571900"
Lamborghini;SC20;"5571900"
McLaren;Elva;"2042320"
Drako;GTE;"1188150"
"Lego Technic";"McLaren Senna GTR";"2482450"
Pagani;"Zonda HP Barchetta";"2482450"
Raesr;"Tachyon Speed";"7741500"
Renault;TreZor;"0809670"
Rimac;Concept_One;"5571900"
Toroidion;1MW;"7741500"
Volkswagen;"Electric R";"1446840"
Arash;AF10;"1188150"
Glickenhaus;004C;"1446840"
Glickenhaus;007S;"5571900"
Koenigsegg;Gemera;"7741500"
Lotus;Emira;"0809670"
McLaren;GT;"1811030"
Naran;"Hyper Coupé";"7741500"
Nissan;"GTR-50 Italdesign";"2042320"
Pagani;"Zonda R";"5571900"
Saleen;S1;"0998460"
"Aston Martin";One77;"2042320"
McLaren;"Senna GTR";"2482450"
Puritalia;Berlinetta;"2042320"
Ultima;RS;"7741500"
Vision;1789;"7741500"
Arash;"AF8 Falcon Édition";"1188150"
Bolwell;"MK X Nagari 500";"0998460"
Brabham;BT62;"1811030"
Tushek;"TS 900 Racer Pro";"7741500"
Lamborghini;"Countach 25th Anniversary";"0809670"
Lamborghini;"Countach LPI 800-4";"5571900"
Lamborghini;"Reventón Roadster";"2042320"
Lamborghini;"Diablo GT";"1811030"
Lamborghini;"Miura Concept";"1811030"
Lamborghini;"Sesto Elemento";"3610390"
Bentley;"Continental GT Speed";"1377840"
Bugatti;Centodieci;"7741500"
Bugatti;EB110;"1811030"
Ferrari;"Monza SP1";"0998460"
McLaren;765LT;"2042320"
McLaren;"600LT Spider";"2042320"
Pagani;"Huayra R";"3610390"
Renault;Dezir;"0809670"
Ajlani;Drakuma;"7741500"
Jaguar;"XE SV Project 8";"1811030"
Koenigsegg;"Agera RS";"7741500"
Nissan;"R390 GT1";"2042320"
Peugeot;SR1;"0809670"
Ares;S1;"1811030"
Bugatti;Bolide;"7741500"
Chrysler;ME412;"7741500"
"Faraday Future";FFZero1;"7741500"
Jaguar;"XJ220S TWR";"7741500"
McLaren;"650S GT3";"5571900"
Peugeot;9X8;"5571900"
Porsche;"Boxster 25th Anniversary";"0241700"
Praga;R1;"0809670"
Donkervoort;"D8 GTO";"0998460"
Ferrari;F50;"1188150"
Mercedes-Benz;"AMG GT Black Series";"1811030"
"Spania GTA";"2015 GTA Spano";"7741500"
"Torino Design";"Super Sport";"7741500"
"FV Frangivento";"Sorpasso GT3";"7741500"
Jaguar;XJR-9;"5571900"
Kepler;Motion;"1188150"
Koenigsegg;CCXR;"7741500"
KTM;"X-Bow GTX";"0146550"
Lamborghini;Revuelto;"3610390"
Maserati;MC12;"1811030"
Apollo;EVO;"3610390"
BMW;"M4 GT3";"1188150"
"De Tomaso";P72;"5571900"
Mercedes-Benz;CLK-GTR;"1811030"
Porsche;"Panamera Turbo S";"1811030"
Porsche;"935 (2019)";"5571900"
Jaguar;XJR-15;"0998460"
Koenigsegg;CC850;"7741500"
McLaren;"Solus GT";"2042320"
Nissan;"370Z Édition Néon";"0809670"
Noble;"M600 Speedster";"5571900"
Saleen;"S7 Twin Turbo";"7741500"
Bugatti;"Chiron Super Sport 300+";"7741500"
Deus;Vayanne;"7741500"
Ford;"Mustang Mach-E1400";"1581800"
Maserati;MC20;"2042320"
McLaren;Artura;"1188150"
Rimac;"Concept S";"7741500"
"Aston Martin";"DBS GT Zagato";"7741500"
Devel;Sixteen;"7741500"
Ferrari;"296 GTB";"1811030"
Ford;"Team Fordzilla P1";"7741500"
Lamborghini;Invencible;"3610390"
Mercedes-Benz;"2022 Showcar Vision AMG";"7741500"
"Alfa Romeo";"Giulia GTAm";"7741500"
"ATS Automobili";GT;"7741500"
Ferrari;"Daytona SP3";"5571900"
"Formule E";"GEN 2 Asphalt Édition";"7741500"
Lamborghini;"Huracán STO";"1188150"
Pagani;"Utopia Coupé";"5571900"
"W Motors";"Lykan Édition Néon";"7741500"
"Aston Martin";"Vantage V12 2022";"1581800"
"De Tomaso";P900;"1811030"
"FV Frangivento";Asfanè;"5571900"
Lamborghini;SC63;"2042320"
Porsche;"911 Carrera RS 3.8";"0809670"
Zenvo;"Aurora Tur";"7741500"
"Aston Martin";DB12;"2042320"
Lotus;E-R9;"3610390"
Maserati;"MC20 GT2";"1811030"
McMurtry;Spéirling;"2482450"
Nissan;"GT-R Néon Édition";"7741500"
Bugatti;"Chiron Pur Sport";"7741500"
Ferrari;"SF90 XX Stradale";"5571900"
Ford;"GT Frankie Edition";"2482450"
Ford;"Mustang RTR Spec 5 10th Anniversary";"1188150"
Koenigsegg;"Jesko Absolut";"7741500"
Lamborghini;Autentica;"2970300"
Porsche;"Mission R";"0998460"
"Aston Martin";Valour;"1188150"
"Automobili Pininfarina";"Battista Edizione Nino Farina";"5571900"
Bugatti;Mistral;"7741500"
Czinger;21C;"7741500"
Lamborghini;Temerario;"3610390"
Mercedes-Benz;"Vision One-Eleven";"5571900"
Rimac;"Nevera Time Attack";"7741500"
TVR;Sagaris;"0998460"
"DS Automobiles";"E-TENSE Performance";"1446840"
Ferrari;"499P Modificata";"5571900"
Ford;"Shelby Super Snake";"5571900"
Jaguar;"XKR-S GT";"0998460"
McLaren;Sabre;"5571900"
Pininfarina;Teorema;"7741500"
Porsche;"911 Turbo 50 Years";"1188150"
Raesr;Tartarus;"7741500"
"FV Frangivento";GT65;"2042320"
HTT;"Locus Pléthore LC750";"7741500"
Kimera;EVO37;"1446840"
"Lego Technic";"Chevrolet Corvette Stingray";"2042320"
Porsche;"911 50 Years Porsche Design";"0998460"
Praga;Bohema;"1811030"
Ford;"GT MK IV";"3610390"
Hyundai;"N Vision 74 Concept";"7741500"
Hyundai;"Ioniq 5 N";"0809670"
Lexus;"Electrified Sport Concept";"5571900"
SSC;"Tuatara Striker";"7741500"
Toyota;"GR Supra 2023";"0809670"
Toyota;"GR Super Sport Concept";"2042320"
"Formule E";"GEN 3 EVO Championship Edition";"2042320"
"Lego Technic";"Aston Martin Valkyrie";"5571900"
Mercedes-Benz;"Mercedes-AMG ONE";"5571900"
Nissan;"Z GT4";"1811030"
SSC;"Ultimate Aero TT";"7741500"
Toyota;"GR Supra Racing Concept";"1446840"
Arash;Imperium;"7741500"
Citroën;"DS Survolt";"0998460"
Ferrari;"F12 Berlinetta";"2042320"
"Lego Technic";"Ferrari FXX K";"2482450"
"Lego Technic";"Lamborghini Revuelto";"3610390"
Mercedes-Benz;"Silver Lightning";"5571900"
Mosler;"Super GT";"7741500"
Pagani;"Zonda Cinque";"5571900"
"Aston Martin";"DBS 770 Ultimate";"1811030"
"Automobili Pininfarina";B95;"5571900"
BMW;"M Hybrid V8";"2042320"
Ford;"Mustang RTR Spec 5-FD";"7741500"
Koenigsegg;One:1;"7741500"
Lotus;Emeya;"0809670"
Raesr;Aglaia;"7741500"
Dodge;"Charger SRT Hellcat Redeye Widebody";"1811030"
Koenigsegg;Chimera;"7741500"
"Lego Technic";"Bugatti Chiron Pur Sport";"7741500"
McLaren;"750S Coupé";"2042320"
Mercedes-Benz;"C 63 AMG DTM";"1811030"
Tushek;"Aeon E";"7741500"
Zenvo;"Aurora Agil";"5571900"
Icona;"Vulcano Spyder";"7741500"
"Lego Technic";"BMW M4 GT3 EVO";"2042320"
Lexus;"LFA Nürburgring Package";"1811030"
Nilu27;Nilu;"7741500"
