"Brand";"Model";"Stars";"GameUpdate";"CarOrder";"StatOrder";"Level";"Epic";"Evo";"SettingClass"
"Acura";"2017 NSX";"4";"0";"20";"42";"11";"4";"0";"class-c"
"Aston Martin";"DB11";"3";"0";"2";"69";"10";"4";"0";"class-b"
"Aston Martin";"Vulcan";"4";"0";"1";"63";"11";"8";"0";"class-a"
"BMW";"M4 GTS";"3";"0";"7";"19";"10";"4";"0";"class-c"
"BMW";"Z4 LCI E89";"3";"0";"2";"43";"10";"0";"0";"class-d"
"BMW";"3.0 CSL Hommage";"3";"0";"2";"54";"10";"4";"0";"class-c"
"Bugatti";"Chiron";"6";"0";"39";"23";"13";"16";"0";"class-s"
"Cadillac";"Cien Concept";"4";"0";"13";"51";"11";"8";"0";"class-b"
"Chevrolet";"Camaro LT";"3";"0";"3";"39";"10";"0";"0";"class-d"
"Chevrolet";"Corvette Grand Sport";"5";"0";"35";"13";"12";"8";"0";"class-b"
"Chevrolet";"Camaro ZL1 50th Edition";"3";"0";"4";"49";"10";"4";"0";"class-c"
"Dodge";"Viper GTS";"4";"0";"5";"59";"11";"8";"0";"class-a"
"Dodge";"Challenger SRT8";"3";"0";"1";"56";"10";"4";"0";"class-c"
"Dodge";"Viper ACR";"4";"0";"13";"27";"11";"4";"0";"class-c"
"Dodge";"Challenger Pack 392 Hemi Scat";"3";"0";"9";"32";"10";"0";"0";"class-d"
"DS Automobiles";"DS E-Tense";"3";"0";"8";"10";"10";"0";"0";"class-d"
"Exotic Rides";"W70";"3";"0";"5";"70";"10";"4";"0";"class-b"
"Ferrari";"F12TDF";"5";"0";"30";"43";"12";"8";"0";"class-b"
"Ferrari";"FXX K";"5";"0";"2";"73";"12";"12";"0";"class-s"
"Ferrari";"488 GTB";"4";"0";"20";"50";"11";"8";"0";"class-b"
"Ferrari";"LaFerrari";"5";"0";"7";"53";"12";"12";"0";"class-a"
"Ford";"GT";"4";"0";"7";"61";"11";"8";"0";"class-b"
"Ford";"Shelby GT350R";"4";"0";"21";"28";"11";"4";"0";"class-d"
"Glickenhaus";"003S";"4";"0";"24";"48";"11";"8";"0";"class-b"
"Icona";"Vulcano Titanium";"5";"0";"4";"71";"12";"12";"0";"class-s"
"Jaguar";"F-Type SVR";"4";"0";"3";"68";"11";"8";"0";"class-b"
"Koenigsegg";"Regera";"6";"0";"31";"22";"13";"16";"0";"class-s"
"Lamborghini";"Aventador SV Coupé";"5";"0";"11";"51";"12";"12";"0";"class-a"
"Lamborghini";"Asterion";"4";"0";"8";"59";"11";"7";"0";"class-b"
"Lamborghini";"Centenario";"5";"0";"1";"74";"12";"12";"0";"class-s"
"Lamborghini";"Terzo Millennio";"6";"0";"20";"64";"13";"16";"0";"class-s"
"Lamborghini";"Egoista";"6";"0";"10";"69";"13";"16";"0";"class-s"
"Lotus";"Evora Sport 410";"3";"0";"5";"52";"10";"4";"0";"class-c"
"McLaren";"P1";"5";"0";"9";"54";"12";"12";"0";"class-a"
"Mercedes-Benz";"AMG GT S";"3";"0";"6";"16";"10";"4";"0";"class-c"
"Mitsubishi";"Lancer Evolution";"3";"0";"1";"42";"10";"0";"0";"class-d"
"Nissan";"GT-R Nismo";"4";"0";"2";"62";"11";"8";"0";"class-a"
"Nissan";"37OZ Nismo";"3";"0";"5";"29";"10";"0";"0";"class-d"
"Pagani";"Huayra BC";"6";"0";"38";"24";"13";"16";"0";"class-a"
"Pininfarina";"H2 Speed";"4";"0";"16";"37";"11";"4";"0";"class-c"
"Porsche";"718 Cayman";"4";"0";"15";"27";"11";"4";"0";"class-d"
"Porsche";"918 Spyder";"5";"0";"22";"45";"12";"12";"0";"class-a"
"Porsche";"911 GTS Coupé";"3";"0";"1";"71";"10";"4";"0";"class-b"
"Rezvani";"Beast X";"4";"0";"8";"45";"11";"4";"0";"class-c"
"Rimac";"C TWO";"6";"0";"99";"42";"4";"0";"0";"class-s"
"Trion";"Nemesis";"6";"0";"13";"32";"13";"16";"0";"class-s"
"VLF";"Force 1 V10";"5";"0";"18";"42";"12";"12";"0";"class-a"
"Volkswagen";"XL Sport Concept";"3";"0";"7";"33";"10";"0";"0";"class-d"
"W Motors";"Lykan Hypersport";"5";"0";"5";"68";"12";"12";"0";"class-s"
"W Motors";"Fenyr Supersport";"6";"0";"23";"50";"13";"11";"0";"class-s"
"Ferrari";"J50";"4";"1";"4";"60";"11";"8";"0";"class-a"
"Lotus";"Elise Sprint 220";"4";"1";"17";"2";"11";"4";"0";"class-d"
"Genty";"Akylone";"6";"2";"47";"29";"13";"16";"0";"class-a"
"Maserati";"Alfieri";"4";"2";"21";"46";"11";"4";"0";"class-c"
"McLaren";"570S Spider";"6";"2";"27";"34";"13";"16";"0";"class-a"
"Sin";"R1 550";"5";"2";"40";"18";"12";"8";"0";"class-b"
"Apollo";"N";"5";"3";"44";"30";"12";"8";"0";"class-b"
"Vencer";"Sarthe";"5";"3";"35";"30";"12";"8";"0";"class-c"
"Zenvo";"TS1 GT Anniversary";"6";"3";"25";"52";"13";"16";"0";"class-s"
"Lamborghini";"Huracán Evo Spyder";"5";"4";"55";"7";"12";"8";"0";"class-b"
"Lamborghini";"Aventador J";"5";"5";"29";"25";"12";"12";"0";"class-a"
"Mercedes-Benz";"SLR McLaren";"5";"5";"45";"21";"12";"8";"0";"class-b"
"Ferrari";"LaFerrari Aperta";"6";"6";"43";"13";"13";"16";"0";"class-a"
"Ferrari";"812 Superfast";"5";"6";"13";"50";"12";"12";"0";"class-a"
"Ginetta";"G60";"4";"6";"26";"11";"11";"4";"0";"class-d"
"Koenigsegg";"Jesko";"6";"6";"46";"9";"13";"12";"0";"class-s"
"Porsche";"911 Targa 4S";"4";"6";"23";"34";"11";"4";"0";"class-d"
"Arrinera";"Hussarya 33";"5";"7";"47";"23";"12";"8";"0";"class-c"
"Artega";"Scalo Superelletra";"4";"7";"18";"40";"11";"4";"0";"class-c"
"Aston Martin";"Vantage GT12";"5";"7";"37";"11";"12";"8";"0";"class-b"
"McLaren";"Senna";"6";"7";"18";"37";"13";"16";"0";"class-s"
"Porsche";"911 GT3 RS";"6";"7";"61";"1";"13";"12";"0";"class-b"
"TVR";"Griffith";"4";"7";"31";"20";"11";"4";"0";"class-d"
"Aston Martin";"DBS Superleggera";"5";"8";"47";"16";"12";"8";"0";"class-b"
"Automobili Pininfarina";"Battista";"6";"8";"27";"47";"13";"16";"0";"class-s"
"Vanda Electrics";"Dendrobium";"6";"8";"23";"5";"13";"16";"0";"class-a"
"Chevrolet";"Corvette ZR1";"5";"9";"15";"49";"12";"12";"0";"class-a"
"Ford";"Shelby GR-1";"4";"9";"15";"35";"11";"4";"0";"class-c"
"Italdesign";"Zerouno";"4";"9";"17";"58";"11";"8";"0";"class-b"
"Mazda";"Furai";"4";"9";"33";"19";"11";"4";"0";"class-d"
"Nissan";"Leaf Nismo RC";"3";"9";"4";"41";"10";"0";"0";"class-d"
"Rimac";"Nevera";"6";"9";"53";"43";"13";"11";"0";"class-s"
"Techrules";"AT96 track version";"6";"9";"50";"23";"13";"16";"0";"class-a"
"Honda";"Civic Type-R";"4";"10";"29";"14";"11";"4";"0";"class-d"
"Lotus";"Evija";"6";"10";"65";"22";"13";"12";"0";"class-b"
"Porsche";"911 GT1 Evolution";"4";"11";"6";"64";"11";"8";"0";"class-b"
"Porsche";"Taycan Turbo S";"4";"11";"30";"17";"11";"4";"0";"class-d"
"Porsche";"Carrera GT";"5";"11";"56";"3";"12";"8";"0";"class-b"
"Porsche";"911 GT2 RS Clubsport";"6";"11";"37";"14";"13";"16";"0";"class-a"
"Porsche";"718 Cayman GT4 Clubsport";"5";"11";"40";"3";"12";"8";"0";"class-c"
"Lamborghini";"Veneno";"6";"12";"7";"66";"13";"4";"0";"class-s"
"Lamborghini";"Gallardo LP560-4";"5";"12";"51";"4";"12";"8";"0";"class-c"
"Lamborghini";"SC18";"6";"12";"40";"32";"13";"8";"0";"class-a"
"Lamborghini";"Sián FKP 37";"6";"12";"34";"35";"12";"9";"0";"class-s"
"McLaren";"F1 LM";"6";"12";"66";"4";"13";"12";"0";"class-b"
"BXR";"Bailey Blade GT1";"6";"13";"40";"16";"13";"16";"0";"class-s"
"Chevrolet";"Corvette Stingray";"5";"13";"41";"32";"12";"8";"0";"class-c"
"Chevrolet";"Corvette C7.R";"5";"13";"36";"21";"12";"2";"0";"class-d"
"Ford";"GT MK II";"4";"13";"15";"49";"11";"6";"0";"class-b"
"SSC";"Tuatara";"6";"13";"56";"7";"13";"16";"0";"class-s"
"Apex";"AP-0";"5";"14";"36";"14";"12";"8";"0";"class-b"
"Aston Martin";"Valhalla Concept Car";"6";"14";"53";"12";"13";"16";"0";"class-a"
"Bentley";"Mulliner Bacalar";"5";"14";"37";"18";"12";"8";"0";"class-c"
"Bentley";"Continental GT3";"4";"14";"32";"12";"11";"1";"0";"class-d"
"Jaguar";"C-X75";"5";"14";"16";"31";"12";"12";"0";"class-a"
"McLaren";"Speedtail";"6";"14";"29";"27";"13";"16";"0";"class-s"
"Ferrari";"F8 Tributo";"6";"15";"44";"4";"13";"16";"0";"class-a"
"Ferrari";"599XX EVO";"5";"15";"44";"2";"12";"3";"0";"class-c"
"Ferrari";"F40";"5";"15";"30";"53";"12";"3";"0";"class-c"
"Ferrari";"488 GTB Challenge EVO";"6";"15";"62";"6";"13";"8";"0";"class-b"
"Ferrari";"SF90 Stradale";"6";"15";"16";"57";"13";"16";"0";"class-s"
"Ferrari";"Enzo Ferrari";"5";"15";"42";"23";"12";"8";"0";"class-b"
"Apollo";"IE";"5";"16";"39";"27";"12";"8";"0";"class-b"
"BMW";"I8 Roadster";"4";"16";"12";"6";"11";"4";"0";"class-d"
"Bugatti";"Divo";"6";"16";"41";"44";"6";"3";"0";"class-s"
"Bugatti";"La Voiture Noire";"6";"16";"59";"17";"8";"2";"0";"class-s"
"Citroën";"GT by Citroën";"6";"16";"34";"19";"13";"16";"0";"class-a"
"Lamborghini";"Huracán Super Trofeo Evo";"5";"16";"38";"5";"12";"7";"0";"class-d"
"Peugeot";"Onyx";"6";"16";"30";"20";"13";"14";"0";"class-a"
"Acura";"NSX GT3 EVO";"5";"17";"34";"6";"12";"1";"0";"class-c"
"Aspark";"Owl";"6";"17";"51";"55";"12";"15";"0";"class-s"
"Inferno Automobili";"Settimo Cerchio";"6";"17";"99";"24";"0";"0";"0";"class-s"
"Inferno Automobili";"Inferno";"6";"17";"37";"28";"8";"6";"0";"class-s"
"Infiniti";"Projet Black S";"4";"17";"16";"24";"11";"4";"0";"class-d"
"Nio";"EP9";"4";"17";"3";"58";"11";"8";"0";"class-a"
"ATS Automobili";"Corsa RRTurbo";"4";"18";"27";"47";"11";"2";"0";"class-c"
"Ferrari";"Roma";"4";"18";"10";"54";"11";"8";"0";"class-b"
"Italdesign";"DaVinci";"4";"18";"11";"22";"11";"4";"0";"class-d"
"Lamborghini";"Essenza SCV12";"5";"18";"48";"26";"12";"8";"0";"class-b"
"Lamborghini";"Murcielago LP 640 Roadster";"5";"18";"32";"41";"12";"8";"0";"class-b"
"Mazzanti";"Evantra Millecavalli";"6";"18";"99";"33";"0";"7";"0";"class-s"
"Pagani";"Imola";"6";"18";"54";"11";"13";"16";"0";"class-a"
"Aston Martin";"Valkyrie";"6";"19";"24";"49";"8";"8";"0";"class-s"
"Aston Martin";"Victor";"6";"19";"36";"22";"13";"16";"0";"class-a"
"Renault";"R.S. 01";"5";"19";"32";"24";"12";"8";"0";"class-c"
"Volkswagen";"W12 Coupe";"6";"19";"68";"5";"13";"12";"0";"class-b"
"Zenvo";"TSR-S";"5";"19";"59";"20";"12";"2";"0";"class-b"
"Aston Martin";"V12 Speedster";"4";"20";"10";"28";"11";"4";"0";"class-c"
"Bugatti";"Veyron 16.4 Grand Sport Vitesse";"6";"20";"19";"63";"3";"7";"0";"class-s"
"Hennessey";"Venom F5";"6";"20";"66";"5";"6";"2";"0";"class-s"
"Lamborghini";"SC20";"6";"20";"45";"26";"10";"4";"0";"class-a"
"Lamborghini";"Aventador SVJ Roadster";"6";"20";"21";"27";"13";"16";"0";"class-a"
"McLaren";"Elva";"5";"20";"25";"39";"12";"8";"0";"class-b"
"Drako";"GTE";"4";"21";"22";"53";"11";"8";"0";"class-b"
"Lego Technic";"McLaren Senna GTR";"3";"21";"14";"46";"10";"3";"0";"class-a"
"Pagani";"Zonda HP Barchetta";"5";"21";"10";"47";"12";"2";"0";"class-a"
"Raesr";"Tachyon Speed";"6";"21";"6";"67";"8";"3";"0";"class-s"
"Renault";"TreZor";"4";"21";"27";"16";"11";"4";"0";"class-d"
"Rimac";"Concept_One";"6";"21";"52";"28";"10";"12";"0";"class-a"
"Toroidion";"1MW";"6";"21";"44";"11";"0";"1";"0";"class-s"
"Volkswagen";"Electric R";"5";"21";"39";"4";"12";"1";"0";"class-d"
"Arash";"AF10";"4";"22";"11";"66";"11";"8";"0";"class-b"
"Glickenhaus";"004C";"5";"22";"40";"3";"12";"8";"0";"class-d"
"Glickenhaus";"007S";"6";"22";"33";"36";"13";"16";"0";"class-a"
"Koenigsegg";"Gemera";"6";"22";"64";"46";"13";"4";"0";"class-s"
"Lotus";"Emira";"4";"22";"24";"25";"11";"4";"0";"class-d"
"McLaren";"GT";"5";"22";"53";"9";"12";"8";"0";"class-c"
"Naran";"Hyper Coupé";"6";"22";"28";"61";"3";"1";"0";"class-s"
"Nissan";"GTR-50 Italdesign";"5";"22";"58";"28";"12";"8";"0";"class-b"
"Pagani";"Zonda R";"6";"22";"31";"43";"13";"10";"0";"class-a"
"Saleen";"S1";"4";"22";"19";"22";"11";"4";"0";"class-c"
"Aston Martin";"One77";"5";"23";"43";"35";"12";"8";"0";"class-b"
"McLaren";"Senna GTR";"5";"23";"20";"41";"12";"12";"0";"class-a"
"Puritalia";"Berlinetta";"5";"23";"51";"8";"12";"8";"0";"class-b"
"Ultima";"RS";"6";"23";"33";"30";"13";"16";"0";"class-s"
"Vision";"1789";"6";"23";"21";"59";"13";"16";"0";"class-s"
"Arash";"AF8 Falcon Édition";"4";"24";"19";"46";"11";"3";"0";"class-b"
"Bolwell";"MK X Nagari 500";"4";"24";"14";"33";"11";"4";"0";"class-c"
"Brabham";"BT62";"5";"24";"42";"1";"12";"1";"0";"class-c"
"Tushek";"TS 900 Racer Pro";"6";"24";"42";"45";"0";"1";"0";"class-s"
"Lamborghini";"Countach 25th Anniversary";"4";"25";"20";"35";"11";"4";"0";"class-d"
"Lamborghini";"Sesto Elemento";"6";"25";"60";"17";"13";"12";"0";"class-b"
"Lamborghini";"Diablo GT";"5";"25";"46";"15";"12";"8";"0";"class-c"
"Lamborghini";"Miura Concept";"5";"25";"39";"31";"12";"3";"0";"class-c"
"Lamborghini";"Reventón Roadster";"5";"25";"41";"24";"10";"3";"0";"class-b"
"Lamborghini";"Countach LPI 800-4";"6";"25";"57";"3";"10";"16";"0";"class-a"
"Bentley";"Continental GT Speed";"4";"26";"6";"55";"11";"7";"0";"class-a"
"Bugatti";"EB110";"5";"26";"49";"8";"12";"8";"0";"class-c"
"Bugatti";"Centodieci";"6";"26";"48";"41";"6";"1";"0";"class-s"
"Ferrari";"Monza SP1";"4";"26";"26";"50";"11";"4";"0";"class-c"
"McLaren";"765LT";"5";"26";"33";"38";"12";"8";"0";"class-b"
"McLaren";"600LT Spider";"5";"26";"50";"9";"12";"3";"0";"class-b"
"Pagani";"Huayra R";"6";"26";"69";"12";"13";"2";"0";"class-b"
"Renault";"Dezir";"4";"26";"10";"15";"11";"4";"0";"class-d"
"Ajlani";"Drakuma";"6";"27";"36";"25";"0";"1";"0";"class-s"
"Jaguar";"XE SV Project 8";"5";"27";"29";"51";"0";"0";"0";"class-c"
"Koenigsegg";"Agera RS";"6";"27";"54";"8";"13";"7";"0";"class-s"
"Nissan";"R390 GT1";"5";"27";"28";"44";"12";"8";"0";"class-b"
