"Brand";"Model";"SettingPrice"
"Acura";"2017 NSX";"0499430"
"Acura";"NSX GT3 EVO";"1811030"
"Ajlani";"Drakuma";"7741500"
"Alfa Romeo";"Giulia GTAm";"7741500"
"Apex";"AP-0";"2042320"
"Apollo";"EVO";"3610390"
"Apollo";"IE";"2042320"
"Apollo";"N";"2042320"
"Arash";"AF8 Falcon Édition";"1188150"
"Arash";"AF10";"1188150"
"Arash";"Imperium";"7741500"
"Ares";"Panther";"3610390"
"Ares";"S1";"1811030"
"Arrinera";"Hussarya 33";"1811030"
"Artega";"Scalo Superelletra";"0998460"
"Aspark";"Owl";"7741500"
"Aston Martin";"DBS 770 Ultimate";"1811030"
"Aston Martin";"DBS GT Zagato";"7741500"
"Aston Martin";"DBS Superleggera";"2042320"
"Aston Martin";"V12 Speedster";"0998460"
"Aston Martin";"Valhalla Concept Car";"5571900"
"Aston Martin";"Vantage GT12";"2042320"
"Aston Martin";"Vantage V12 2022";"1581800"
"Aston Martin";"DB11";"0321740"
"Aston Martin";"DB12";"2042320"
"Aston Martin";"One77";"2042320"
"Aston Martin";"Valkyrie";"7741500"
"Aston Martin";"Valour";"1188150"
"Aston Martin";"Victor";"5571900"
"Aston Martin";"Vulcan";"0688720"
"ATS Automobili";"Corsa RRTurbo";"0998460"
"ATS Automobili";"GT";"7741500"
"Audi";"R18 E-Tron Quattro 2012";"0000000"
"Audi";"R8 Coupé V1O Performance Quattro";"0000000"
"Audi";"R8 LMPI 2000";"0000000"
"Automobili Pininfarina";"Battista Edizione Nino Farina";"5571900"
"Automobili Pininfarina";"B95";"5571900"
"Automobili Pininfarina";"Battista";"7741500"
"Bentley";"Continental GT Speed";"1377840"
"Bentley";"Continental GT3";"0809670"
"Bentley";"Mulliner Bacalar";"1811030"
"Bentley";"Speed 8";"0000000"
"BMW";"3.0 CSL Hommage";"0241700"
"BMW";"I8 Roadster";"0809670"
"BMW";"M Hybrid V8";"2042320"
"BMW";"M4 GT3";"1188150"
"BMW";"M4 GTS";"0241700"
"BMW";"Z4 LCI E89";"0146550"
"Bolwell";"MK X Nagari 500";"0998460"
"Brabham";"BT62";"1811030"
"Bugatti";"Chiron Pur Sport";"7741500"
"Bugatti";"Chiron Super Sport 300+";"7741500"
"Bugatti";"La Voiture Noire";"7741500"
"Bugatti";"Veyron 16.4 Grand Sport Vitesse";"7741500"
"Bugatti";"Bolide";"7741500"
"Bugatti";"Centodieci";"7741500"
"Bugatti";"Chiron";"7741500"
"Bugatti";"Divo";"7741500"
"Bugatti";"EB110";"1811030"
"Bugatti";"Mistral";"7741500"
"BXR";"Bailey Blade GT1";"7741500"
"Cadillac";"Cien Concept";"0594180"
"Chevrolet";"Camaro LT";"0146550"
"Chevrolet";"Camaro ZL1 50th Edition";"0241700"
"Chevrolet";"Corvette C7.R";"1446840"
"Chevrolet";"Corvette Grand Sport 4th of July Edition";"0000000"
