"Name";"Number";"Slug"
"Acura";"0";"acura"
"Ajlani";"0";"ajlani"
"Alfa Romeo";"0";"alfa-romeo"
"Apex";"0";"apex"
"Apollo";"0";"apollo"
"Arash";"0";"arash"
"Ares";"0";"ares"
"Arrinera";"0";"arrinera"
"Artega";"0";"artega"
"Aspark";"0";"aspark"
"Aston Martin";"0";"aston-martin"
"ATS Automobili";"0";"ats-automobili"
"Audi";"0";"audi"
"Automobili Pininfarina";"0";"automobili-pininfarina"
"Bentley";"0";"bentley"
"BMW";"0";"bmw"
"Bolwell";"0";"bolwell"
"Brabham";"0";"brabham"
"Bugatti";"0";"bugatti"
"BXR";"0";"bxr"
"Cadillac";"0";"cadillac"
"Chevrolet";"0";"chevrolet"
"Chrysler";"0";"chrysler"
"Citroën";"0";"citroen"
"Czinger";"0";"czinger"
"De Tomaso";"0";"de-tomaso"
"Deus";"0";"deus"
"Devel";"0";"devel"
"Dodge";"0";"dodge"
"Donkervoort";"0";"donkervoort"
"Drako";"0";"drako"
"DS Automobiles";"0";"ds-automobiles"
"Exotic Rides";"0";"exotic-rides"
"Faraday Future";"0";"faraday-future"
"Ferrante Design";"0";"ferrante-design"
"Ferrari";"0";"ferrari"
"Ford";"0";"ford"
"Formule E";"0";"formule-e"
"FV Frangivento";"0";"fv-frangivento"
"Genty";"0";"genty"
"Ginetta";"0";"ginetta"
"Glickenhaus";"0";"glickenhaus"
"Hennessey";"0";"hennessey"
"Honda";"0";"honda"
"HTT";"0";"htt"
"Hyundai";"0";"hyundai"
"Icona";"0";"icona"
"Inferno Automobili";"0";"inferno-automobili"
"Infiniti";"0";"infiniti"
"Italdesign";"0";"italdesign"
"Jaguar";"0";"jaguar"
"Kepler";"0";"kepler"
"Kimera";"0";"kimera"
"Koenigsegg";"0";"koenigsegg"
"KTM";"0";"ktm"
"Lamborghini";"0";"lamborghini"
"Lego Technic";"0";"lego-technic"
"Lexus";"0";"lexus"
"Lotus";"0";"lotus"
"Maserati";"0";"maserati"
"Mazda";"0";"mazda"
"Mazzanti";"0";"mazzanti"
"McLaren";"0";"mclaren"
"McMurtry";"0";"mcmurtry"
"Mercedes-Benz";"0";"mercedes-benz"
"Mitsubishi";"0";"mitsubishi"
"Mosler";"0";"mosler"
"Naran";"0";"naran"
"Nilu27";"0";"nilu27"
"Nio";"0";"nio"
"Nissan";"0";"nissan"
"Noble";"0";"noble"
"Pagani";"0";"pagani"
"Peugeot";"0";"peugeot"
"Pininfarina";"0";"pininfarina"
"Porsche";"0";"porsche"
"Praga";"0";"praga"
"Puritalia";"0";"puritalia"
"Raesr";"0";"raesr"
"Renault";"0";"renault"
"Rezvani";"0";"rezvani"
"Rimac";"0";"rimac"
"Saleen";"0";"saleen"
"Sin";"0";"sin"
"Spania GTA";"0";"spania-gta"
"SSC";"0";"ssc"
"Techrules";"0";"techrules"
"Torino Design";"0";"torino-design"
"Toroidion";"0";"toroidion"
"Toyota";"0";"toyota"
"Trion";"0";"trion"
"Tushek";"0";"tushek"
"TVR";"0";"tvr"
"Ultima";"0";"ultima"
"Vanda Electrics";"0";"vanda-electrics"
"Vencer";"0";"vencer"
"Vision";"0";"vision"
"VLF";"0";"vlf"
"Volkswagen";"0";"volkswagen"
"W Motors";"0";"w-motors"
"Zenvo";"0";"zenvo"
