"Brand";"Model";"SettingBlueprint"
"Acura";"2017 NSX";"035-15-21-32-00-00|103"
"Acura";"NSX GT3 EVO";"key-25-32-36-41-00|134"
"Ajlani";"Drakuma";"085-25-29-38-54-69|300"
"Alfa Romeo";"Giulia GTAm";"key-22-30-35-38-00|125"
"Apex";"AP-0";"045-17-23-32-45-00|162"
"Apollo";"N";"030-09-13-21-32-00|105"
"Apollo";"IE";"045-17-23-32-45-00|162"
"Apollo";"EVO";"055-18-24-32-47-50|226"
"Arash";"AF10";"055-35-44-54-00-00|188"
"Arash";"AF8 Falcon Édition";"key-35-55-85-00-00|175"
"Arash";"Imperium";"key-45-50-55-70-80|300"
"Ares";"S1";"key-25-32-36-41-00|134"
"Ares";"Panther";"025-30-35-40-50-60|240"
"Arrinera";"Hussarya 33";"035-15-21-28-35-00|134"
"Artega";"Scalo Superelletra";"050-29-38-48-00-00|165"
"Aspark";"Owl";"085-25-29-38-54-69|300"
"Aston Martin";"Vulcan";"045-21-28-42-00-00|136"
"Aston Martin";"DB11";"030-30-70-00-00-00|130"
"Aston Martin";"Vantage GT12";"045-17-23-32-45-00|162"
"Aston Martin";"DBS Superleggera";"045-17-23-32-45-00|162"
"Aston Martin";"Valhalla Concept Car";"050-23-27-36-52-77|265"
"Aston Martin";"Valkyrie";"085-25-29-38-54-69|300"
"Aston Martin";"Victor";"070-23-27-36-52-59|267"
"Aston Martin";"V12 Speedster";"050-29-38-48-00-00|165"
"Aston Martin";"One77";"045-17-23-32-45-00|162"
"Aston Martin";"DBS GT Zagato";"070-23-27-36-52-59|267"
"Aston Martin";"Vantage V12 2022";"key-22-30-35-38-00|125"
"Aston Martin";"DB12";"045-17-23-32-45-00|162"
"Aston Martin";"Valour";"key-35-55-85-00-00|175"
"Aston Martin";"DBS 770 Ultimate";"key-30-35-40-45-00|150"
"ATS Automobili";"Corsa RRTurbo";"key-25-38-52-00-00|115"
"ATS Automobili";"GT";"085-25-29-38-54-69|300"
"Automobili Pininfarina";"Battista";"060-25-35-46-58-76|300"
"Automobili Pininfarina";"Battista Edizione Nino Farina";"070-23-27-36-52-59|267"
"Automobili Pininfarina";"B95";"030-35-40-45-55-65|270"
"Bentley";"Mulliner Bacalar";"035-15-21-28-35-00|134"
"Bentley";"Continental GT3";"key-26-38-64-00-00|128"
"Bentley";"Continental GT Speed";"060-40-51-63-00-00|214"
"Bentley";"Speed 8";"key-40-45-50-60-75|270"
"BMW";"M4 GTS";"040-20-50-00-00-00|110"
"BMW";"Z4 LCI E89";"005-08-45-00-00-00|058"
"BMW";"3.0 CSL Hommage";"020-20-50-00-00-00|090"
"BMW";"I8 Roadster";"030-23-33-42-00-00|128"
"BMW";"M4 GT3";"055-35-44-54-00-00|188"
"BMW";"M Hybrid V8";"key-35-40-50-55-00|180"
"Bolwell";"MK X Nagari 500";"050-29-38-48-00-00|165"
"Brabham";"BT62";"key-25-32-36-41-00|134"
"Bugatti";"Chiron";"060-13-16-25-38-48|200"
"Bugatti";"La Voiture Noire";"key-40-45-60-70-85|300"
"Bugatti";"Divo";"085-25-29-38-54-69|300"
