Brand;Model;Order
"Aston Martin";Vulcan;1
Nissan;"GT-R Nismo";2
Nio;EP9;3
Ferrari;J50;4
Dodge;"Viper GTS";5
Bentley;"Continental GT Speed";6
Ferrari;LaFerrari;7
"Lego Technic";"Ferrari FXX K";8
McLaren;P1;9
Pagani;"Zonda HP Barchetta";10
Lamborghini;"Aventador SV Coupé";11
McMurtry;Spéirling;12
Ferrari;"812 Superfast";13
"Lego Technic";"McLaren Senna GTR";14
Chevrolet;"Corvette ZR1";15
Jaguar;C-X75;16
"Lego Technic";"Aston Martin Valkyrie";17
VLF;"Force 1 V10";18
Ford;"GT Frankie Edition";19
McLaren;"Senna GTR";20
Lamborghini;"Aventador SVJ Roadster";21
"Vanda Electrics";Dendrobium;22
Porsche;"918 Spyder";23
Pagani;"Zonda Cinque";24
Peugeot;9X8;25
"Aston Martin";"DBS GT Zagato";26
McLaren;"570S Spider";27
"Automobili Pininfarina";"Battista Edizione Nino Farina";28
Lamborghini;"Aventador J";29
Peugeot;Onyx;30
Pagani;"Zonda R";31
McLaren;Sabre;32
Glickenhaus;007S;33
Citroën;"GT by Citroën";34
Porsche;"935 (2019)";35
"Aston Martin";Victor;36
Porsche;"911 GT2 RS Clubsport";37
Pagani;"Huayra BC";38
McLaren;"650S GT3";39
Lamborghini;SC18;40
Ferrari;"SF90 XX Stradale";41
Mercedes-Benz;"Mercedes-AMG ONE";42
Porsche;"935 Dragonforce Edition";43
Ferrari;"LaFerrari Aperta";44
Ferrari;"F8 Tributo";45
Lamborghini;SC20;46
Pagani;"Utopia Coupé";47
Genty;Akylone;48
Ford;"Shelby Super Snake";49
"FV Frangivento";Asfanè;50
Techrules;"AT96 track version";51
Noble;"M600 Speedster";52
Rimac;Concept_One;53
"Aston Martin";"Valhalla Concept Car";54
Zenvo;"Aurora Agil";55
Pagani;Imola;56
Ford;"Team Fordzilla P1";57
Jaguar;XJR-9;58
Lamborghini;"Countach LPI 800-4";59
Lexus;"Electrified Sport Concept";60
Ferrari;"499P Modificata";61
"De Tomaso";P72;62
Mercedes-Benz;"Vision One-Eleven";63
"Automobili Pininfarina";B95;64
Mercedes-Benz;"Silver Lightning";65
Porsche;"919 Street";66
