"Speed";"Acceleration";"Handling";"Nitro";"CalculateMark";"TempMark";"FinalMark";"Brand";"Model"
"9";"9";"9";"9";"9";"9";"9";"Acura";"2017 NSX"
"9";"9";"9";"9";"9";"9";"9";"Acura";"NSX GT3 EVO"
"9";"9";"9";"9";"9";"9";"9";"Ajlani";"Drakuma"
"9";"9";"9";"9";"9";"9";"9";"Alfa Romeo";"Giulia GTAm"
"9";"9";"9";"9";"9";"9";"9";"Apex";"AP-0"
"9";"9";"9";"9";"9";"9";"9";"Apollo";"EVO"
"9";"9";"9";"9";"9";"9";"9";"Apollo";"IE"
"9";"9";"9";"9";"9";"9";"9";"Apollo";"N"
"9";"9";"9";"9";"9";"9";"9";"Arash";"AF10"
"9";"9";"9";"9";"9";"9";"9";"Arash";"AF8 Falcon Édition"
"9";"9";"9";"9";"9";"9";"9";"Arash";"Imperium"
"9";"9";"9";"9";"9";"9";"9";"Ares";"S1"
"9";"9";"9";"9";"9";"9";"9";"Arrinera";"Hussarya 33"
"9";"9";"9";"9";"9";"9";"9";"Artega";"Scalo Superelletra"
"9";"9";"9";"9";"9";"9";"9";"Aspark";"Owl"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"DB11"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"DB12"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"DBS GT Zagato"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"DBS Superleggera"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"One77"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"V12 Speedster"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Valhalla Concept Car"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Valkyrie"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Valour"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Vantage GT12"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Vantage V12 2022"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Victor"
"9";"9";"9";"9";"9";"9";"9";"Aston Martin";"Vulcan"
"9";"9";"9";"9";"9";"9";"9";"ATS Automobili";"Corsa RRTurbo"
"9";"9";"9";"9";"9";"9";"9";"ATS Automobili";"GT"
"9";"9";"9";"9";"9";"9";"9";"Automobili Pininfarina";"Battista"
"9";"9";"9";"9";"9";"9";"9";"Automobili Pininfarina";"Battista Edizione Nino Farina"
"9";"9";"9";"9";"9";"9";"9";"Bentley";"Continental GT Speed"
"9";"9";"9";"9";"9";"9";"9";"Bentley";"Continental GT3"
"9";"9";"9";"9";"9";"9";"9";"Bentley";"Mulliner Bacalar"
"9";"9";"9";"9";"9";"9";"9";"BMW";"3.0 CSL Hommage"
"9";"9";"9";"9";"9";"9";"9";"BMW";"I8 Roadster"
"9";"9";"9";"9";"9";"9";"9";"BMW";"M4 GT3"
"9";"9";"9";"9";"9";"9";"9";"BMW";"M4 GTS"
"9";"9";"9";"9";"9";"9";"9";"BMW";"Z4 LCI E89"
"9";"9";"9";"9";"9";"9";"9";"Bolwell";"MK X Nagari 500"
"9";"9";"9";"9";"9";"9";"9";"Brabham";"BT62"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Bolide"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Centodieci"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Chiron"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Chiron Pur Sport"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Chiron Super Sport 300+"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Divo"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"EB110"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"La Voiture Noire"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Mistral"
"9";"9";"9";"9";"9";"9";"9";"Bugatti";"Veyron 16.4 Grand Sport Vitesse"
"9";"9";"9";"9";"9";"9";"9";"BXR";"Bailey Blade GT1"
"9";"9";"9";"9";"9";"9";"9";"Cadillac";"Cien Concept"
"9";"9";"9";"9";"9";"9";"9";"Chevrolet";"Camaro LT"
"9";"9";"9";"9";"9";"9";"9";"Chevrolet";"Camaro ZL1 50th Edition"
"9";"9";"9";"9";"9";"9";"9";"Chevrolet";"Corvette C7.R"
"9";"9";"9";"9";"9";"9";"9";"Chevrolet";"Corvette Grand Sport"
"9";"9";"9";"9";"9";"9";"9";"Chevrolet";"Corvette Stingray"
"9";"9";"9";"9";"9";"9";"9";"Chevrolet";"Corvette ZR1"
"9";"9";"9";"9";"9";"9";"9";"Chrysler";"ME412"
"9";"9";"9";"9";"9";"9";"9";"Citroën";"DS Survolt"
"9";"9";"9";"9";"9";"9";"9";"Citroën";"GT by Citroën"
"9";"9";"9";"9";"9";"9";"9";"Czinger";"21C"
"9";"9";"9";"9";"9";"9";"9";"De Tomaso";"P72"
"9";"9";"9";"9";"9";"9";"9";"De Tomaso";"P900"
"9";"9";"9";"9";"9";"9";"9";"Deus";"Vayanne"
"9";"9";"9";"9";"9";"9";"9";"Devel";"Sixteen"
"9";"9";"9";"9";"9";"9";"9";"Dodge";"Challenger Pack 392 Hemi Scat"
"9";"9";"9";"9";"9";"9";"9";"Dodge";"Challenger SRT8"
"9";"9";"9";"9";"9";"9";"9";"Dodge";"Viper ACR"
"9";"9";"9";"9";"9";"9";"9";"Dodge";"Viper GTS"
"9";"9";"9";"9";"9";"9";"9";"Donkervoort";"D8 GTO"
"9";"9";"9";"9";"9";"9";"9";"Drako";"GTE"
"9";"9";"9";"9";"9";"9";"9";"DS Automobiles";"DS E-Tense"
"9";"9";"9";"9";"9";"9";"9";"DS Automobiles";"E-TENSE Performance"
"9";"9";"9";"9";"9";"9";"9";"Exotic Rides";"W70"
"9";"9";"9";"9";"9";"9";"9";"Faraday";"FFZero1"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"296 GTB"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"488 GTB"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"488 GTB Challenge EVO"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"499P Modificata"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"599XX EVO"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"812 Superfast"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"Daytona SP3"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"Enzo Ferrari"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"F12 Berlinetta"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"F12TDF"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"F40"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"F50"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"F8 Tributo"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"FXX K"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"J50"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"LaFerrari"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"LaFerrari Aperta"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"Monza SP1"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"Roma"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"SF90 Stradale"
"9";"9";"9";"9";"9";"9";"9";"Ferrari";"SF90 XX Stradale"
"9";"9";"9";"9";"9";"9";"9";"Ford";"GT"
