Brand	Model	Unblock	Gold	ToUpgrade
Acura	2017 NSX	1	1	0
Acura	NSX GT3 EVO	1	0	0
Ajlani	Drakuma	0	0	0
Alfa Romeo	Giulia GTAm	0	0	0
Apex	AP-0	1	1	0
Apollo	EVO	0	0	0
Apollo	IE	1	1	0
Apollo	N	1	1	0
Arash	AF10	1	1	0
Arash	AF8 Falcon Édition	1	0	0
Arash	Imperium	0	0	0
Ares	Panther	0	0	0
Ares	S1	1	1	0
Arrinera	Hussarya 33	1	1	0
Artega	Scalo Superelletra	1	1	0
Aspark	Owl	1	0	0
Aston Martin	DB11	1	1	0
Aston Martin	DB12	1	0	0
Aston Martin	DBS 770 Ultimate	0	0	0
Aston Martin	DBS GT Zagato	1	0	0
Aston Martin	DBS Superleggera	1	1	0
Aston Martin	One77	1	1	0
Aston Martin	V12 Speedster	1	0	0
Aston Martin	Valhalla Concept Car	1	1	0
Aston Martin	Valkyrie	1	0	0
Aston Martin	Valour	0	0	0
Aston Martin	Vantage GT12	1	1	0
Aston Martin	Vantage V12 2022	0	0	1
Aston Martin	Victor	1	0	0
Aston Martin	Vulcan	1	1	0
ATS Automobili	Corsa RRTurbo	1	0	0
ATS Automobili	GT	1	0	0
Automobili Pininfarina	B95	1	0	0
Automobili Pininfarina	Battista	1	1	0
Automobili Pininfarina	Battista Edizione Nino Farina	1	1	0
Bentley	Continental GT Speed	1	0	0
Bentley	Continental GT3	1	0	0
Bentley	Mulliner Bacalar	1	0	0
BMW	3.0 CSL Hommage	1	1	0
BMW	I8 Roadster	1	0	0
BMW	M Hybrid V8	1	0	0
BMW	M4 GT3	1	0	0
BMW	M4 GTS	1	1	0
BMW	Z4 LCI E89	1	1	0
Bolwell	MK X Nagari 500	1	0	1
Brabham	BT62	1	0	0
Bugatti	Bolide	0	0	0
Bugatti	Centodieci	0	0	0
Bugatti	Chiron	1	1	0
Bugatti	Chiron Pur Sport	1	1	0
Bugatti	Chiron Super Sport 300+	0	0	0
Bugatti	Divo	1	0	0
Bugatti	EB110	1	0	0
Bugatti	La Voiture Noire	0	0	0
Bugatti	Mistral	1	0	0
Bugatti	Veyron 16.4 Grand Sport Vitesse	1	0	0
BXR	Bailey Blade GT1	1	1	0
Cadillac	Cien Concept	1	1	0
Chevrolet	Camaro LT	1	1	0
Chevrolet	Camaro ZL1 50th Edition	1	1	0
Chevrolet	Corvette C7.R	1	0	0
Chevrolet	Corvette Grand Sport	1	1	0
Chevrolet	Corvette Stingray	1	0	0
Chevrolet	Corvette ZR1	1	1	0
Chrysler	ME412	0	0	0
Citroën	DS Survolt	1	0	0
Citroën	GT by Citroën	1	0	0
Czinger	21C	1	0	0
De Tomaso	P72	0	0	0
De Tomaso	P900	1	0	0
Deus	Vayanne	0	0	1
Devel	Sixteen	1	0	0
